date,mktrf,rf
2016-01-04,-0.015900,0.00000
2016-01-05,0.001300,0.00000
2016-01-06,-0.013500,0.00000
2016-01-07,-0.024400,0.00000
2016-01-08,-0.011100,0.00000
2016-01-11,-0.000600,0.00000
2016-01-12,0.007200,0.00000
2016-01-13,-0.026600,0.00000
2016-01-14,0.016500,0.00000
2016-01-15,-0.021300,0.00000
2016-01-19,-0.001900,0.00000
2016-01-20,-0.009400,0.00000
2016-01-21,0.004500,0.00000
2016-01-22,0.020800,0.00000
2016-01-25,-0.017000,0.00000
2016-01-26,0.015200,0.00000
2016-01-27,-0.011100,0.00000
2016-01-28,0.004900,0.00000
2016-01-29,0.025700,0.00000
2016-02-01,-0.000400,0.00001
2016-02-02,-0.020000,0.00001
2016-02-03,0.004600,0.00001
2016-02-04,0.002700,0.00001
2016-02-05,-0.020600,0.00001
2016-02-08,-0.015100,0.00001
2016-02-09,-0.000800,0.00001
2016-02-10,0.000100,0.00001
2016-02-11,-0.011700,0.00001
2016-02-12,0.019800,0.00001
2016-02-16,0.017800,0.00001
2016-02-17,0.017400,0.00001
2016-02-18,-0.005100,0.00001
2016-02-19,0.000600,0.00001
2016-02-22,0.014300,0.00001
2016-02-23,-0.012100,0.00001
2016-02-24,0.005400,0.00001
2016-02-25,0.011000,0.00001
2016-02-26,-0.000200,0.00001
2016-02-29,-0.006900,0.00001
2016-03-01,0.023400,0.00001
2016-03-02,0.005400,0.00001
2016-03-03,0.005000,0.00001
2016-03-04,0.003700,0.00001
2016-03-07,0.002100,0.00001
2016-03-08,-0.012700,0.00001
2016-03-09,0.005000,0.00001
2016-03-10,-0.001000,0.00001
2016-03-11,0.016900,0.00001
2016-03-14,-0.001300,0.00001
2016-03-15,-0.003500,0.00001
2016-03-16,0.006300,0.00001
2016-03-17,0.007100,0.00001
2016-03-18,0.005400,0.00001
2016-03-21,0.001000,0.00001
2016-03-22,-0.000500,0.00001
2016-03-23,-0.008500,0.00001
2016-03-24,0.000000,0.00001
2016-03-28,0.000400,0.00001
2016-03-29,0.010700,0.00001
2016-03-30,0.004100,0.00001
2016-03-31,-0.001100,0.00001
2016-04-01,0.006400,0.00000
2016-04-04,-0.004100,0.00000
2016-04-05,-0.009400,0.00000
2016-04-06,0.011400,0.00000
2016-04-07,-0.012300,0.00000
2016-04-08,0.002900,0.00000
2016-04-11,-0.002900,0.00000
2016-04-12,0.009900,0.00000
2016-04-13,0.012300,0.00000
2016-04-14,0.000300,0.00000
2016-04-15,-0.000400,0.00000
2016-04-18,0.006500,0.00000
2016-04-19,0.002800,0.00000
2016-04-20,0.001500,0.00000
2016-04-21,-0.004800,0.00000
2016-04-22,0.001200,0.00000
2016-04-25,-0.002400,0.00000
2016-04-26,0.002900,0.00000
2016-04-27,0.002100,0.00000
2016-04-28,-0.009600,0.00000
2016-04-29,-0.005000,0.00000
2016-05-02,0.007900,0.00001
2016-05-03,-0.010500,0.00001
2016-05-04,-0.006600,0.00001
2016-05-05,-0.000800,0.00001
2016-05-06,0.003800,0.00001
2016-05-09,0.000500,0.00001
2016-05-10,0.012600,0.00001
2016-05-11,-0.008900,0.00001
2016-05-12,-0.001100,0.00001
2016-05-13,-0.008200,0.00001
2016-05-16,0.009900,0.00001
2016-05-17,-0.009500,0.00001
2016-05-18,0.001000,0.00001
2016-05-19,-0.003200,0.00001
2016-05-20,0.007500,0.00001
2016-05-23,-0.001900,0.00001
2016-05-24,0.014300,0.00001
2016-05-25,0.007100,0.00001
2016-05-26,-0.000400,0.00001
2016-05-27,0.004800,0.00001
2016-05-31,-0.000100,0.00001
2016-06-01,0.002000,0.00001
2016-06-02,0.003500,0.00001
2016-06-03,-0.003800,0.00001
2016-06-06,0.006000,0.00001
2016-06-07,0.001200,0.00001
