Model,Strategy,Rolling Window,Final Cumulative Return
Lasso,LONG_ONLY,5,12.726787908716183
OLS,LONG_ONLY,5,12.292381115328617
Ridge,LONG_ONLY,5,12.292381115328617
PLS,LONG_ONLY,5,12.292381115328617
PCR,LONG_ONLY,5,12.292381115328617
NN1,LONG_ONLY,5,6.285072441236327
NN4,LONG_ONLY,5,2.0558862184884625
unit2ts,LONG_ONLY,5,1.8650215859830273
NN2,LONG_ONLY,5,1.7801660935642092
RF,LONG_ONLY,5,1.4897862627248128
NN3,LONG_ONLY,5,1.0451288942300325
NN5,LONG_ONLY,5,0.7526775349487826
chronos_t5,LONG_ONLY,5,0.5821782064233614
timefm,LONG_ONLY,5,0.40854285326580847
PCR,LONG_ONLY,21,10.296276502672542
Lasso,LONG_ONLY,21,7.581451853250122
OLS,LONG_ONLY,21,6.669543284223727
Ridge,LONG_ONLY,21,6.669543284223727
PLS,LONG_ONLY,21,6.669543284223727
unit2ts,LONG_ONLY,21,4.6465901728175245
NN2,LONG_ONLY,21,2.4799526190779493
RF,LONG_ONLY,21,2.175642380181681
NN4,LONG_ONLY,21,1.7511629928707877
NN5,LONG_ONLY,21,1.7098479005586358
NN1,LONG_ONLY,21,1.2961531057387572
chronos_t5,LONG_ONLY,21,1.040462730626945
NN3,LONG_ONLY,21,0.8906778893368068
timefm,LONG_ONLY,21,0.3772445779519419
unit2ts,LONG_ONLY,252,14.93507962014629
Lasso,LONG_ONLY,252,14.909049599902218
OLS,LONG_ONLY,252,14.547689565864536
Ridge,LONG_ONLY,252,14.547689565864536
PLS,LONG_ONLY,252,14.547689565864536
PCR,LONG_ONLY,252,7.5100500915956045
NN4,LONG_ONLY,252,6.697598097246237
RF,LONG_ONLY,252,4.718382462073701
NN5,LONG_ONLY,252,4.252811778377639
NN2,LONG_ONLY,252,3.455522712565336
chronos_t5,LONG_ONLY,252,2.9499038250827234
NN3,LONG_ONLY,252,1.4389665730808396
NN1,LONG_ONLY,252,1.3420337563734424
timefm,LONG_ONLY,252,0.6756104601382172
OLS,LONG_ONLY,512,18.392210080056515
Ridge,LONG_ONLY,512,18.392210080056515
PLS,LONG_ONLY,512,18.392210080056515
Lasso,LONG_ONLY,512,18.338027213599783
PCR,LONG_ONLY,512,14.365399717323108
unit2ts,LONG_ONLY,512,10.949413292011247
NN4,LONG_ONLY,512,8.449065653144471
NN5,LONG_ONLY,512,5.610581649727912
NN1,LONG_ONLY,512,4.809442295295434
RF,LONG_ONLY,512,3.7244919746331724
NN3,LONG_ONLY,512,3.168592593210518
chronos_t5,LONG_ONLY,512,2.8308633355351662
NN2,LONG_ONLY,512,2.7391578927079445
timefm,LONG_ONLY,512,1.1561664650532568
OLS,LONG_SHORT,5,1.5546716805727983
Ridge,LONG_SHORT,5,1.5546716805727983
PLS,LONG_SHORT,5,1.5546716805727983
PCR,LONG_SHORT,5,1.5546716805727983
Lasso,LONG_SHORT,5,1.546102551809706
NN1,LONG_SHORT,5,1.3113871604440475
RF,LONG_SHORT,5,0.848316838799087
NN4,LONG_SHORT,5,0.8426036291033338
unit2ts,LONG_SHORT,5,0.8392776506897047
NN2,LONG_SHORT,5,0.8097389619895108
NN3,LONG_SHORT,5,0.724021906176795
NN5,LONG_SHORT,5,0.6159888128135926
chronos_t5,LONG_SHORT,5,0.5365200694776171
timefm,LONG_SHORT,5,0.4323816204518599
PCR,LONG_SHORT,21,1.4505761132331747
Lasso,LONG_SHORT,21,1.3852551405243914
OLS,LONG_SHORT,21,1.3531359070544575
Ridge,LONG_SHORT,21,1.3531359070544575
PLS,LONG_SHORT,21,1.3531359070544575
unit2ts,LONG_SHORT,21,1.1074885715196132
NN2,LONG_SHORT,21,0.9050386087077517
RF,LONG_SHORT,21,0.8542183073928383
NN5,LONG_SHORT,21,0.8445636245863781
NN4,LONG_SHORT,21,0.8013713694439303
NN1,LONG_SHORT,21,0.732179844622449
NN3,LONG_SHORT,21,0.5994652188040381
chronos_t5,LONG_SHORT,21,0.5494488785664752
timefm,LONG_SHORT,21,0.411886320610113
Lasso,LONG_SHORT,252,1.853576983242337
OLS,LONG_SHORT,252,1.8478761696971422
Ridge,LONG_SHORT,252,1.8478761696971422
PLS,LONG_SHORT,252,1.8478761696971422
unit2ts,LONG_SHORT,252,1.6276100044039639
NN4,LONG_SHORT,252,1.548701734055475
PCR,LONG_SHORT,252,1.3756823696603029
RF,LONG_SHORT,252,1.313562052623617
NN5,LONG_SHORT,252,1.008866643925027
NN2,LONG_SHORT,252,0.9916369160933519
chronos_t5,LONG_SHORT,252,0.8689069176407602
NN1,LONG_SHORT,252,0.8599437160017955
NN3,LONG_SHORT,252,0.7799429591572976
timefm,LONG_SHORT,252,0.552936372006572
Lasso,LONG_SHORT,512,2.108957070253436
OLS,LONG_SHORT,512,2.0838811881598254
Ridge,LONG_SHORT,512,2.0838811881598254
PLS,LONG_SHORT,512,2.0838811881598254
PCR,LONG_SHORT,512,1.857473590463025
unit2ts,LONG_SHORT,512,1.5916488637509405
NN4,LONG_SHORT,512,1.507936646727873
NN1,LONG_SHORT,512,1.4346721558077884
NN5,LONG_SHORT,512,1.1594982202729374
RF,LONG_SHORT,512,1.1428693261339657
chronos_t5,LONG_SHORT,512,1.112593624030905
NN3,LONG_SHORT,512,1.027819633991874
NN2,LONG_SHORT,512,0.9944441598295791
timefm,LONG_SHORT,512,0.6145470334549887
OLS,SHORT_ONLY,5,0.27335775302709237
Ridge,SHORT_ONLY,5,0.27335775302709237
PLS,SHORT_ONLY,5,0.27335775302709237
PCR,SHORT_ONLY,5,0.27335775302709237
Lasso,SHORT_ONLY,5,0.2559557477042546
NN1,SHORT_ONLY,5,0.23854660961117316
RF,SHORT_ONLY,5,0.13347084068248613
NN4,SHORT_ONLY,5,0.0876369558644143
NN3,SHORT_ONLY,5,0.0864118405197806
NN2,SHORT_ONLY,5,0.08362996211810984
unit2ts,SHORT_ONLY,5,0.07807245040714869
NN5,SHORT_ONLY,5,0.05596864125859698
