Model,Strategy,Rolling Window,Final Cumulative Return
Lasso,LONG_ONLY,5,3.692125952267799
OLS,LONG_ONLY,5,3.5687788899610844
Ridge,LONG_ONLY,5,3.5687788899610844
PLS,LONG_ONLY,5,3.5687788899610844
PCR,LONG_ONLY,5,3.5687788899610844
NN1,LONG_ONLY,5,1.7022338085850388
NN2,LONG_ONLY,5,0.6301535250397653
NN4,LONG_ONLY,5,0.5529553555674405
RF,LONG_ONLY,5,0.3620931751486656
unit2ts,LONG_ONLY,5,0.27307740891472887
NN3,LONG_ONLY,5,0.24891401066158525
NN5,LONG_ONLY,5,0.19394111527129795
chronos_t5,LONG_ONLY,5,0.15161625100537948
timefm,LONG_ONLY,5,0.13795246263446356
PCR,LONG_ONLY,21,2.810620459828766
Lasso,LONG_ONLY,21,2.255889036892331
OLS,LONG_ONLY,21,1.9825571723593733
Ridge,LONG_ONLY,21,1.9825571723593733
PLS,LONG_ONLY,21,1.9825571723593733
unit2ts,LONG_ONLY,21,0.7764194920881485
NN2,LONG_ONLY,21,0.6456581842999888
RF,LONG_ONLY,21,0.5325703026862972
NN4,LONG_ONLY,21,0.4878952389076654
NN5,LONG_ONLY,21,0.4354322088474084
chronos_t5,LONG_ONLY,21,0.31837409783441667
NN1,LONG_ONLY,21,0.30293521649749067
NN3,LONG_ONLY,21,0.1954889822911506
timefm,LONG_ONLY,21,0.1442115454126977
Lasso,LONG_ONLY,252,4.4555270671427705
OLS,LONG_ONLY,252,4.3370027800381985
Ridge,LONG_ONLY,252,4.3370027800381985
PLS,LONG_ONLY,252,4.3370027800381985
PCR,LONG_ONLY,252,2.042534039281601
NN4,LONG_ONLY,252,2.0066484582768425
NN5,LONG_ONLY,252,1.1828589781885162
RF,LONG_ONLY,252,1.1771236811762709
unit2ts,LONG_ONLY,252,1.1237161162347622
NN2,LONG_ONLY,252,1.0244345046918093
chronos_t5,LONG_ONLY,252,0.8548095521153842
NN3,LONG_ONLY,252,0.39481181317444614
NN1,LONG_ONLY,252,0.34691230033754616
timefm,LONG_ONLY,252,0.30087316161480854
OLS,LONG_ONLY,512,5.196741287019853
Ridge,LONG_ONLY,512,5.196741287019853
PLS,LONG_ONLY,512,5.196741287019853
Lasso,LONG_ONLY,512,5.18213564399802
PCR,LONG_ONLY,512,3.919669151544563
NN4,LONG_ONLY,512,2.798184349134122
NN5,LONG_ONLY,512,1.511919551220702
NN1,LONG_ONLY,512,1.34118301626193
unit2ts,LONG_ONLY,512,0.9578093043478327
RF,LONG_ONLY,512,0.9418070588819499
NN3,LONG_ONLY,512,0.888159059596981
chronos_t5,LONG_ONLY,512,0.8022213883961935
NN2,LONG_ONLY,512,0.6480140266698639
timefm,LONG_ONLY,512,0.5298104936086206
unit2ts,LONG_SHORT,5,0.15865327463507894
OLS,LONG_SHORT,5,0.141287792053153
Ridge,LONG_SHORT,5,0.141287792053153
PLS,LONG_SHORT,5,0.141287792053153
PCR,LONG_SHORT,5,0.141287792053153
Lasso,LONG_SHORT,5,0.14076860986045428
NN2,LONG_SHORT,5,0.10126819259844853
NN1,LONG_SHORT,5,0.09175353356587378
NN4,LONG_SHORT,5,0.061517811275169205
timefm,LONG_SHORT,5,0.05947863703013463
RF,LONG_SHORT,5,0.0556297030165009
NN3,LONG_SHORT,5,0.04729031630408622
chronos_t5,LONG_SHORT,5,0.044684524483557225
NN5,LONG_SHORT,5,0.04063940605084356
unit2ts,LONG_SHORT,21,0.2670083570989521
Lasso,LONG_SHORT,21,0.13335852412411048
OLS,LONG_SHORT,21,0.13029397218270206
Ridge,LONG_SHORT,21,0.13029397218270206
PLS,LONG_SHORT,21,0.13029397218270206
PCR,LONG_SHORT,21,0.11768113708989401
timefm,LONG_SHORT,21,0.0741981125439603
NN4,LONG_SHORT,21,0.0706215440291203
NN2,LONG_SHORT,21,0.0631465138512681
chronos_t5,LONG_SHORT,21,0.06052777542588135
NN5,LONG_SHORT,21,0.05911466380296529
RF,LONG_SHORT,21,0.05723294490185517
NN1,LONG_SHORT,21,0.049436671654258704
NN3,LONG_SHORT,21,0.039850098230568294
unit2ts,LONG_SHORT,252,0.2543590756578046
Lasso,LONG_SHORT,252,0.16769812230483724
OLS,LONG_SHORT,252,0.16721929120269677
Ridge,LONG_SHORT,252,0.16721929120269677
PLS,LONG_SHORT,252,0.16721929120269677
NN4,LONG_SHORT,252,0.13039328395543567
timefm,LONG_SHORT,252,0.1280717440210415
PCR,LONG_SHORT,252,0.11029697233935476
NN5,LONG_SHORT,252,0.09074390419429916
chronos_t5,LONG_SHORT,252,0.08907934207953305
RF,LONG_SHORT,252,0.08601502456188692
NN2,LONG_SHORT,252,0.08567967880484803
NN3,LONG_SHORT,252,0.05826767107002083
NN1,LONG_SHORT,252,0.05560822545707855
unit2ts,LONG_SHORT,512,0.2187964110002044
Lasso,LONG_SHORT,512,0.17100438121703396
OLS,LONG_SHORT,512,0.1688593235039545
Ridge,LONG_SHORT,512,0.1688593235039545
PLS,LONG_SHORT,512,0.1688593235039545
timefm,LONG_SHORT,512,0.1465260676044732
PCR,LONG_SHORT,512,0.1456971002402602
NN4,LONG_SHORT,512,0.1326963182592476
chronos_t5,LONG_SHORT,512,0.10941808034280114
NN1,LONG_SHORT,512,0.10370510211524483
NN5,LONG_SHORT,512,0.09084880926772278
