Model,Strategy,Rolling Window,Final Cumulative Return
unit2ts,LONG_ONLY,5,2.7690224956732072e-08
NN2,LONG_ONLY,5,8.181040326727276e-12
timefm,LONG_ONLY,5,7.947040404863796e-13
Lasso,LONG_ONLY,5,2.3182312681080943e-13
OLS,LONG_ONLY,5,2.2899867229662005e-13
Ridge,LONG_ONLY,5,2.2899867229662005e-13
PLS,LONG_ONLY,5,2.2899867229662005e-13
PCR,LONG_ONLY,5,2.2899867229662005e-13
NN1,LONG_ONLY,5,1.8828789926759888e-14
NN4,LONG_ONLY,5,6.549822190804796e-15
chronos_t5,LONG_ONLY,5,8.38877417505821e-16
NN5,LONG_ONLY,5,6.971588920608533e-16
RF,LONG_ONLY,5,2.2969942481527024e-16
NN3,LONG_ONLY,5,9.779532148910461e-17
unit2ts,LONG_ONLY,21,6.154988239208014e-07
timefm,LONG_ONLY,21,2.274851278645835e-11
Lasso,LONG_ONLY,21,2.6264563092556e-13
OLS,LONG_ONLY,21,2.2491070233794138e-13
Ridge,LONG_ONLY,21,2.2491070233794138e-13
PLS,LONG_ONLY,21,2.2491070233794138e-13
chronos_t5,LONG_ONLY,21,1.153519276648789e-13
PCR,LONG_ONLY,21,3.443180414809481e-14
NN4,LONG_ONLY,21,1.2433106697695294e-14
NN2,LONG_ONLY,21,2.316858470750502e-15
NN5,LONG_ONLY,21,1.180705734735489e-15
RF,LONG_ONLY,21,3.810243710353861e-16
NN1,LONG_ONLY,21,7.174471520882874e-17
NN3,LONG_ONLY,21,9.728775432845079e-18
unit2ts,LONG_ONLY,252,3.692377709752177e-08
timefm,LONG_ONLY,252,2.16159914780153e-09
Lasso,LONG_ONLY,252,4.735959968005149e-13
OLS,LONG_ONLY,252,4.354801583183011e-13
Ridge,LONG_ONLY,252,4.354801583183011e-13
PLS,LONG_ONLY,252,4.354801583183011e-13
NN4,LONG_ONLY,252,2.8584396453951416e-13
NN2,LONG_ONLY,252,1.4989714258971033e-13
chronos_t5,LONG_ONLY,252,6.201100867305633e-14
NN5,LONG_ONLY,252,2.700171957424185e-14
PCR,LONG_ONLY,252,1.9759106007717217e-14
NN3,LONG_ONLY,252,6.475130221901503e-15
RF,LONG_ONLY,252,1.5137749662943526e-15
NN1,LONG_ONLY,252,1.3176572936359196e-15
unit2ts,LONG_ONLY,512,1.8421814446793245e-08
timefm,LONG_ONLY,512,8.688225530971201e-09
NN4,LONG_ONLY,512,5.693585381956412e-12
Lasso,LONG_ONLY,512,1.0715183066118251e-13
OLS,LONG_ONLY,512,1.065312937788522e-13
Ridge,LONG_ONLY,512,1.065312937788522e-13
PLS,LONG_ONLY,512,1.065312937788522e-13
PCR,LONG_ONLY,512,3.34347457345011e-14
chronos_t5,LONG_ONLY,512,3.1894918910189203e-14
NN1,LONG_ONLY,512,3.030639602467352e-14
NN3,LONG_ONLY,512,2.1717162530395976e-14
NN5,LONG_ONLY,512,1.3363415452499526e-14
RF,LONG_ONLY,512,1.511855744294857e-15
NN2,LONG_ONLY,512,1.986040089711525e-16
OLS,LONG_SHORT,5,1.5053832406580823
Ridge,LONG_SHORT,5,1.5053832406580823
PLS,LONG_SHORT,5,1.5053832406580823
PCR,LONG_SHORT,5,1.5053832406580823
Lasso,LONG_SHORT,5,1.5005265686835783
NN1,LONG_SHORT,5,1.264080692831275
RF,LONG_SHORT,5,0.8633756510187336
NN2,LONG_SHORT,5,0.8436041799894598
NN4,LONG_SHORT,5,0.8410237346475627
NN3,LONG_SHORT,5,0.7443473525884546
unit2ts,LONG_SHORT,5,0.6984757594506812
NN5,LONG_SHORT,5,0.6315061885147146
chronos_t5,LONG_SHORT,5,0.5674737000779618
timefm,LONG_SHORT,5,0.4715773577640814
PCR,LONG_SHORT,21,1.4155080624848213
Lasso,LONG_SHORT,21,1.3666623738879191
OLS,LONG_SHORT,21,1.3354601255446967
Ridge,LONG_SHORT,21,1.3354601255446967
PLS,LONG_SHORT,21,1.3354601255446967
unit2ts,LONG_SHORT,21,1.0171308963646062
NN2,LONG_SHORT,21,0.9010533212880019
RF,LONG_SHORT,21,0.8669178092040004
NN5,LONG_SHORT,21,0.841840841701852
NN4,LONG_SHORT,21,0.8184118323683344
NN1,LONG_SHORT,21,0.7466374442065842
NN3,LONG_SHORT,21,0.61501531563395
chronos_t5,LONG_SHORT,21,0.5727989601959219
timefm,LONG_SHORT,21,0.4513985237525529
Lasso,LONG_SHORT,252,1.76822694763972
OLS,LONG_SHORT,252,1.767275784762334
Ridge,LONG_SHORT,252,1.767275784762334
PLS,LONG_SHORT,252,1.767275784762334
NN4,LONG_SHORT,252,1.5312390007955412
PCR,LONG_SHORT,252,1.344766516017161
RF,LONG_SHORT,252,1.274591203202554
unit2ts,LONG_SHORT,252,1.2345479186036588
NN2,LONG_SHORT,252,1.0035485830767015
NN5,LONG_SHORT,252,0.9877955626908491
chronos_t5,LONG_SHORT,252,0.8736087426207212
NN1,LONG_SHORT,252,0.8620546348626805
NN3,LONG_SHORT,252,0.7870945315598895
timefm,LONG_SHORT,252,0.5834998117938476
Lasso,LONG_SHORT,512,1.9864249406064276
OLS,LONG_SHORT,512,1.9650888943414728
Ridge,LONG_SHORT,512,1.9650888943414728
PLS,LONG_SHORT,512,1.9650888943414728
PCR,LONG_SHORT,512,1.7766101030683041
NN4,LONG_SHORT,512,1.4486153537136792
NN1,LONG_SHORT,512,1.399448019838621
RF,LONG_SHORT,512,1.1414949625464181
NN5,LONG_SHORT,512,1.136383453576543
chronos_t5,LONG_SHORT,512,1.102842137368983
unit2ts,LONG_SHORT,512,1.0958401872661816
NN3,LONG_SHORT,512,1.025277209010901
NN2,LONG_SHORT,512,0.999005133842297
timefm,LONG_SHORT,512,0.6390081084964402
unit2ts,SHORT_ONLY,5,5.009691372321812e-10
