Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
OLS,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5720545234498537,0.5745114516100195,0.5718016581073738
Ridge,5,-0.00243423449745106,0.0010674647366745174,0.01819315439621386,0.5720545234498537,0.5745114516100195,0.5718016581073738
Lasso,5,-0.0023659692218680473,0.001067392042853899,0.018193112644185973,0.5714008074276274,0.5736890096726324,0.571310886368815
PLS,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5720545234498537,0.5745114516100195,0.5718016581073738
PCR,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5720545234498537,0.5745114516100195,0.5718016581073738
RF,5,-0.052552745747621143,0.001120834565410467,0.018859079515162788,0.4842798964655165,0.485455293129034,0.48495258794454277
OLS,21,-0.0024748991405414422,0.0010675080393382078,0.01819382668298675,0.5769573936165514,0.5799645992383472,0.576183548630221
Ridge,21,-0.002474881258913708,0.0010675080202965528,0.018193826631794523,0.5769573936165514,0.5799645992383472,0.576183548630221
Lasso,21,-0.0023923929027649393,0.001067420180707336,0.01819356800557957,0.5768690536135478,0.5796070157873093,0.5763588242511349
PLS,21,-0.0024748991388845454,0.0010675080393364436,0.01819382668295733,0.5769573936165514,0.5799645992383472,0.576183548630221
PCR,21,-0.001966074807791429,0.0010669662062546194,0.018193697977804634,0.5587063489960159,0.5607087303999571,0.5588487897218376
RF,21,-0.05180865375655941,0.0011200422022469136,0.01875021605344522,0.4887499006174966,0.48890597343154957,0.4904387148791475
OLS,252,-0.0027926111134624065,0.001067846362108761,0.01819141808448628,0.6172316009858745,0.6221952048059216,0.614691602545002
Ridge,252,-0.002792591481960427,0.0010678463412037128,0.018191418053429012,0.6172316009858745,0.6221952048059216,0.614691602545002
Lasso,252,-0.0027096774645998245,0.00106775804833954,0.018191229754699063,0.6179383210099029,0.622785217500134,0.6155153979632972
PLS,252,-0.002792611113309418,0.001067846362108598,0.018191418084500602,0.6172316009858745,0.6221952048059216,0.614691602545002
PCR,252,-0.002116759672137203,0.00106712666643595,0.018193836837374855,0.5978763063277944,0.6009726269868231,0.5970939302052477
RF,252,-0.044889728385161476,0.001112674428286807,0.01870933751828621,0.4952693928391594,0.497130392805421,0.4953113771405535
OLS,512,-0.003471493342460219,0.001068569285184282,0.01818522974568845,0.6613751004867534,0.6650158230677085,0.6602983191067955
Ridge,512,-0.003471466135432477,0.0010685692562122638,0.018185229727901178,0.6613751004867534,0.6650158230677085,0.6602983191067955
Lasso,512,-0.003382104860416124,0.0010684740978401516,0.01818506352281424,0.6621966625146866,0.6657488691423361,0.6612097523355477
PLS,512,-0.003471493350762911,0.0010685692851931231,0.01818522974577605,0.6613751004867534,0.6650158230677085,0.6602983191067955
PCR,512,-0.0026593234760081685,0.0010677044277574385,0.018188558770610624,0.6463307979752472,0.650372780747707,0.6448039542180078
RF,512,-0.04799440080422057,0.00111598050883775,0.018720008033745576,0.49645314887940706,0.4973985803936994,0.49739715702942877
