Model,Rolling Window,Mean Return (Daily),Daily Volatility,Annualized Volatility,Sharpe Ratio (Daily)
Chronos Base,5,-0.000264,0.003722,0.059085,-0.071054
Chronos Small,5,-0.000268,0.0037,0.05873,-0.072489
Lasso,5,0.0002,0.003849,0.061107,0.051931
NN1,5,0.000126,0.003609,0.057288,0.034996
NN2,5,-8.6e-05,0.003799,0.060309,-0.022631
NN3,5,-0.000136,0.003638,0.057755,-0.037368
NN4,5,-6.9e-05,0.003611,0.057324,-0.019129
NN5,5,-0.000208,0.003586,0.056919,-0.057877
OLS,5,0.000202,0.003844,0.061018,0.052636
PCR,5,0.000202,0.003844,0.061018,0.052636
PLS,5,0.000202,0.003844,0.061018,0.052636
RF,5,-6.7e-05,0.003418,0.054261,-0.019536
Ridge,5,0.000202,0.003844,0.061018,0.052636
TimeFm,5,-0.000362,0.003969,0.063,-0.091327
Uni2Ts Base,5,-0.00014,0.003929,0.062375,-0.035541
Uni2Ts Small,5,-0.000126,0.003938,0.062511,-0.0319
Chronos Base,21,-0.000307,0.003701,0.058759,-0.082952
Chronos Small,21,-0.000258,0.003642,0.057809,-0.070786
Lasso,21,0.000151,0.003847,0.061064,0.039349
NN1,21,-0.000131,0.003761,0.059706,-0.034718
NN2,21,-3.7e-05,0.003669,0.058236,-0.010166
NN3,21,-0.00022,0.003495,0.055488,-0.062897
NN4,21,-9.1e-05,0.003653,0.057992,-0.024939
NN5,21,-6.8e-05,0.003556,0.05645,-0.019189
OLS,21,0.000141,0.003844,0.061016,0.036681
PCR,21,0.000171,0.003648,0.057915,0.04687
PLS,21,0.000141,0.003844,0.061016,0.036681
RF,21,-6.4e-05,0.003471,0.055101,-0.018302
Ridge,21,0.000141,0.003844,0.061016,0.036681
TimeFm,21,-0.000384,0.003865,0.061353,-0.099429
Uni2Ts Base,21,2.6e-05,0.003993,0.063382,0.006609
Uni2Ts Small,21,-3.7e-05,0.003946,0.062646,-0.009346
Chronos Base,252,-0.000194,0.003504,0.055626,-0.055482
Chronos Small,252,-5.6e-05,0.003502,0.055587,-0.015956
Lasso,252,0.00028,0.00384,0.060957,0.072928
NN1,252,-6e-05,0.003567,0.056627,-0.016888
NN2,252,3e-06,0.003767,0.059797,0.000905
NN3,252,-0.000103,0.003769,0.059828,-0.027224
NN4,252,0.0002,0.003739,0.059353,0.053533
NN5,252,1.1e-05,0.003626,0.057559,0.002903
OLS,252,0.000279,0.003842,0.060983,0.072544
PCR,252,0.000148,0.003873,0.061475,0.03833
PLS,252,0.000279,0.003842,0.060983,0.072544
RF,252,0.000126,0.003326,0.052792,0.037891
Ridge,252,0.000279,0.003842,0.060983,0.072544
TimeFm,252,-0.000254,0.003833,0.060853,-0.066357
Uni2Ts Base,252,0.000178,0.003579,0.056814,0.049733
Uni2Ts Small,252,0.000101,0.003513,0.055767,0.028856
Chronos Base,512,-6.9e-05,0.00331,0.052538,-0.020917
Chronos Small,512,5.2e-05,0.003032,0.048126,0.017068
Lasso,512,0.000337,0.003906,0.062003,0.086362
NN1,512,0.000166,0.003668,0.058226,0.045311
NN2,512,4e-06,0.003576,0.056774,0.001115
NN3,512,1.9e-05,0.003577,0.056785,0.005189
NN4,512,0.000189,0.003814,0.060552,0.049467
NN5,512,7.3e-05,0.003768,0.059817,0.019243
OLS,512,0.000332,0.003908,0.062038,0.084963
PCR,512,0.000281,0.00385,0.061111,0.072993
PLS,512,0.000332,0.003908,0.062038,0.084963
RF,512,6.5e-05,0.003477,0.0552,0.018702
Ridge,512,0.000332,0.003908,0.062038,0.084963
TimeFm,512,-0.000208,0.003651,0.057952,-0.057087
Uni2Ts Base,512,0.000182,0.003825,0.060726,0.047534
Uni2Ts Small,512,0.000177,0.003844,0.061017,0.046001
