Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
NN1,5,-0.017668545298461957,0.0010836873366296869,0.01827438819043004,0.49956713780918727,0.4020047107159934,0.6001099134874486
NN2,5,-0.05564384646522291,0.0011241261938285678,0.018360814086898207,0.49628975265017666,0.6408521791488834,0.35443554105800595
NN3,5,-0.04396211180535703,0.0011116866348196452,0.018300360041176213,0.4933922261484099,0.3107478704376007,0.6790703446319671
NN4,5,-0.07287982196816922,0.0011424803116533695,0.018308177030291122,0.49969081272084803,0.9525917792693077,0.04919514962416679
NN5,5,-0.04654839505855479,0.0011144406969584193,0.018459696208335704,0.4949381625441696,0.07420263162555121,0.9189653949794355
NN1,21,-0.016705130249177413,0.0010826614223537162,0.018328192658354482,0.498047703180212,0.5490640551118352,0.4498475393561197
NN2,21,-0.06037642956261813,0.0011291657918350985,0.018322976320845955,0.4976943462897527,0.43453698620433173,0.5637852786838746
NN3,21,-0.07421124232505028,0.0011438981046933026,0.0184180386508805,0.4929946996466431,0.16333433686932192,0.8258403063395263
NN4,21,-0.049941289864207095,0.0011180536976278304,0.018344073894603047,0.500256183745583,0.9109391325907167,0.09202595376542334
NN5,21,-0.07631027262772028,0.0011461333045220822,0.0183728149900017,0.4946643109540636,0.15570156020330458,0.8368316550843852
NN1,252,-0.027900534845387792,0.0010945831018095756,0.018416091853051944,0.494434628975265,0.20562452405829953,0.7863955467309601
NN2,252,-0.028059788978797684,0.001094752687170624,0.018433096244360226,0.4992226148409894,0.9001363628313882,0.10076584881577082
NN3,252,-0.03673308001592179,0.0011039886370358904,0.018328474248418446,0.5004328621908127,0.8138912993429791,0.1895298539214296
NN4,252,-0.028926352774602204,0.001095675467201739,0.018361358661999044,0.5017932862190813,0.8636548780703774,0.14244433413700183
NN5,252,-0.06516574440827338,0.0011342658019251686,0.01833928113714439,0.5028180212014134,0.9036782545557582,0.10443554105800595
NN1,512,-0.010369038637879413,0.001075914292087569,0.018341854988276094,0.5033480565371025,0.8192926842226433,0.18997305346759324
NN2,512,-0.0445790391931824,0.001112343583883164,0.018338174710074866,0.5003710247349823,0.6878530823312732,0.31557580485037584
NN3,512,-0.0964783614770246,0.0011676097494716542,0.018406970680903842,0.49697879858657246,0.3593249154373351,0.6376400510565877
NN4,512,-0.014257509705309923,0.0010800550183329592,0.018293272820485058,0.5019611307420495,0.7981475906281545,0.20835697064246206
NN5,512,-0.07261167681191671,0.0011421947712271158,0.018459448725677386,0.4988339222614841,0.06046009173499566,0.9405403488866827
