Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
NN1,5,-0.0410758652749732,0.0011086131500098627,0.01827511747307785,0.49915194346289754,0.9887367843165035,0.011930931782725855
NN2,5,-0.05055642039653452,0.0011187087332691866,0.018279859897834226,0.4946643109540636,0.06749074680787008,0.9251347326620337
NN3,5,-0.02738145869981712,0.0010940303518515461,0.01830226032778303,0.49606890459363956,0.04560185595126357,0.9498652673379663
NN4,5,-0.03960575845596459,0.0011070476735582098,0.018326159085412415,0.49979681978798585,0.9838489737368729,0.018117997447170613
NN5,5,-0.029579433499961505,0.0010963709149633294,0.018300860073764028,0.49901943462897524,0.9973790001239662,0.00301375691391292
NN1,21,-0.019967416346575506,0.0010861353413900725,0.01823318029010572,0.4914399293286219,0.3253227548833832,0.6605623315841724
NN2,21,-0.0421001018556717,0.0011097038314673408,0.018506034491876152,0.49913427561837453,0.9976977703791595,0.0029251170046801873
NN3,21,-0.053012505979355584,0.001121324151477874,0.018255623462040235,0.5004593639575972,0.9364938813820461,0.0668522195433272
NN4,21,-0.0164195904769453,0.001082357358877743,0.01821578945626383,0.49708480565371027,0.05309295694830609,0.9444050489292299
NN5,21,-0.019303127928903763,0.001085427958864174,0.018217504606835758,0.49969964664310956,0.9911983990649406,0.010565877180541767
NN1,252,-0.031057692276514448,0.0010979450722111022,0.0183417812308521,0.49909893992932863,0.9978394460481343,0.002712381222521628
NN2,252,-0.0794875234182355,0.0011495166717912042,0.01831143656266682,0.4970583038869258,0.07074928719429047,0.9266770670826833
NN3,252,-0.03372688657620948,0.0011007874240504581,0.01826581573955816,0.49951413427561836,0.9916057166132431,0.009785845979293717
NN4,252,-0.024677698318665398,0.0010911511915396041,0.018335060303709832,0.4994434628975265,0.9952715745479661,0.0059743298822862
NN5,252,-0.04963975757814176,0.0011177326041622775,0.018240084540752214,0.5023763250883392,0.8345405280960561,0.1727591830945965
NN1,512,-0.02687564276458687,0.0010934917223280076,0.01822467743015476,0.5005123674911661,0.9870543857474277,0.016345199262515955
NN2,512,0.0017617748927919452,0.0010629965212996851,0.01825736852295819,0.49992049469964667,0.991021304478722,0.011186356545170898
NN3,512,-0.032199075541244904,0.0010991604999610743,0.01836573680571752,0.4983303886925795,0.032372890360741674,0.9676464331300525
NN4,512,-0.029958771857068855,0.0010967748619810438,0.01824427311980258,0.4973409893992933,0.12520587245647902,0.8727308183236421
NN5,512,-0.059073319700623905,0.0011277781458650972,0.01841490972762655,0.49841872791519437,0.02562558662581685,0.9745780740320522
