Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down,PT stat,PT p-value
Chronos Base,5,-1.0922192732489449,0.0022279469502592226,0.02257558508849943,0.4927208480565371,0.5689517771441727,0.4192490426889803,-4.834326353347183,1.335972620308823e-06
Chronos Base,21,-1.1501598865500817,0.0022896463210426493,0.02006301741632363,0.49385159010600704,0.5384029610214816,0.4520989930506311,-4.084317562234663,4.420654158954207e-05
Chronos Base,252,-0.06385466766732795,0.0011328696722441676,0.01857913659760488,0.5009187279151943,0.37938973205589105,0.6254609275280102,0.4369615248535173,0.662139251340772
Chronos Base,512,-0.04969979142889991,0.0011177965325642474,0.01851694329479459,0.4998939929328622,0.32123186994173586,0.6816231740178698,-0.3820128038995376,0.702451867463298
Chronos Small,5,-1.3993810963939768,0.002555035155526229,0.023178417413886914,0.47224381625441697,0.4431083641773071,0.5037228761877748,-18.860353021761025,0.0
Chronos Small,21,-0.1754428051552901,0.0012516968208992649,0.01932079363467827,0.4847173144876325,0.44760656666725696,0.5245355268756204,-10.416267708378838,0.0
Chronos Small,252,-0.015520847038477559,0.0010814003116272938,0.018495585785586986,0.49396643109540633,0.512972178440505,0.4776804708551978,-4.048188472732845,5.161557624555613e-05
Chronos Small,512,-0.030276367100913637,0.0010971130604500038,0.018467304032352194,0.49663427561837453,0.44489701949811394,0.5512161395546731,-2.3836408411986025,0.01714232350420697
Lasso,5,-0.002365969221867825,0.001067392042853899,0.01819311264418597,0.5035600706713781,0.881045566437034,0.1285810523330024,4.540239996751473,5.6190231654262845e-06
Lasso,21,-0.0023923929027647173,0.001067420180707336,0.01819356800557957,0.5025088339222615,0.8690031345741761,0.13852645014891504,3.3176375597471615,0.0009078220079625776
Lasso,252,-0.0027096774646000465,0.0010677580483395403,0.018191229754699063,0.5036837455830389,0.8609453309012344,0.14895050347468444,4.332479990083685,1.4743906699088427e-05
Lasso,512,-0.003382104860416124,0.0010684740978401516,0.01818506352281424,0.5062544169611307,0.8447411762622417,0.17033044958161964,6.42142719746435,1.3500267570520919e-10
NN1,5,-0.017668545298461957,0.0010836873366296869,0.01827438819043004,0.49956713780918727,0.4020047107159934,0.6001099134874486,-0.4567063696186902,0.6478821119499805
NN1,21,-0.016705130249177413,0.0010826614223537162,0.018328192658354482,0.498047703180212,0.5490640551118352,0.4498475393561197,-1.2412439028018984,0.21451566091033936
NN1,252,-0.027900534845387792,0.0010945831018095756,0.018416091853051944,0.494434628975265,0.20562452405829953,0.7863955467309601,-5.164317354720119,2.41317976046318e-07
NN1,512,-0.010369038637879413,0.001075914292087569,0.018341854988276094,0.5033480565371025,0.8192926842226433,0.18997305346759324,3.539000236489584,0.0004016454930502178
NN2,5,-0.05564384646522291,0.0011241261938285678,0.018360814086898207,0.49628975265017666,0.6408521791488834,0.35443554105800595,-2.369480198562394,0.01781310891418819
NN2,21,-0.06037642956261813,0.0011291657918350985,0.018322976320845955,0.4976943462897527,0.43453698620433173,0.5637852786838746,-1.6675699387652092,0.09540112992676364
NN2,252,-0.028059788978797684,0.001094752687170624,0.018433096244360226,0.4992226148409894,0.9001363628313882,0.10076584881577082,0.1813535028538027,0.856090112985904
NN2,512,-0.0445790391931824,0.001112343583883164,0.018338174710074866,0.5003710247349823,0.6878530823312732,0.31557580485037584,0.5859473231757429,0.5579109144831502
NN3,5,-0.04396211180535703,0.0011116866348196452,0.018300360041176213,0.4933922261484099,0.3107478704376007,0.6790703446319671,-5.096303749627726,3.4634925194509947e-07
NN3,21,-0.07421124232505028,0.0011438981046933026,0.0184180386508805,0.4929946996466431,0.16333433686932192,0.8258403063395263,-6.9926030310464755,2.6982860390489805e-12
NN3,252,-0.03673308001592179,0.0011039886370358904,0.018328474248418446,0.5004328621908127,0.8138912993429791,0.1895298539214296,1.004719223836734,0.3150320687688648
NN3,512,-0.0964783614770246,0.0011676097494716542,0.018406970680903842,0.49697879858657246,0.3593249154373351,0.6376400510565877,-2.345883530886939,0.018982037999096812
NN4,5,-0.07287982196816922,0.0011424803116533695,0.018308177030291122,0.49969081272084803,0.9525917792693077,0.04919514962416679,1.1808082858827087,0.2376788917011705
NN4,21,-0.049941289864207095,0.0011180536976278304,0.018344073894603047,0.500256183745583,0.9109391325907167,0.09202595376542334,1.4286094262993105,0.1531165233321483
NN4,252,-0.028926352774602204,0.001095675467201739,0.018361358661999044,0.5017932862190813,0.8636548780703774,0.14244433413700183,2.5648300911778157,0.010322633976042495
NN4,512,-0.014257509705309923,0.0010800550183329592,0.018293272820485058,0.5019611307420495,0.7981475906281545,0.20835697064246206,2.211601118455285,0.026994238079563804
NN5,5,-0.04654839505855479,0.0011144406969584193,0.018459696208335704,0.4949381625441696,0.07420263162555121,0.9189653949794355,-7.610230320273351,2.731148640577885e-14
NN5,21,-0.07631027262772028,0.0011461333045220822,0.0183728149900017,0.4946643109540636,0.15570156020330458,0.8368316550843852,-5.637781412550136,1.7225496584671873e-08
NN5,252,-0.06516574440827338,0.0011342658019251686,0.01833928113714439,0.5028180212014134,0.9036782545557582,0.10443554105800595,4.20706756202784,2.587058156211519e-05
NN5,512,-0.07261167681191671,0.0011421947712271158,0.018459448725677386,0.4988339222614841,0.06046009173499566,0.9405403488866827,-3.1175366301647283,0.001823692824441725
OLS,5,-0.0024342469672420375,0.001067464749953256,0.01819315442938008,0.5036925795053003,0.8776630598402607,0.132233016593391,4.611373860752251,4.0001636227859905e-06
OLS,21,-0.00247489914054122,0.0010675080393382078,0.01819382668298675,0.5028091872791519,0.8637965537393522,0.14434122819458234,3.5400872739592644,0.0003999947334023535
OLS,252,-0.0027926111134624065,0.001067846362108761,0.01819141808448628,0.503648409893993,0.8565888040802593,0.1532406750815487,4.236527398689194,2.2700323224711383e-05
OLS,512,-0.003471493342460219,0.0010685692851842817,0.01818522974568845,0.5065106007067138,0.8415357642516869,0.17405332576939442,6.591694551391364,4.348343907167873e-11
PCR,5,-0.0024342469672420375,0.0010674647499532557,0.018193154429380076,0.5036925795053003,0.8776630598402607,0.132233016593391,4.611373860752251,4.0001636227859905e-06
PCR,21,-0.001966074807791429,0.0010669662062546194,0.018193697977804634,0.502464664310954,0.8915472753997911,0.11587008934902851,3.5991599212410303,0.0003192468280106553
PCR,252,-0.002116759672137203,0.00106712666643595,0.018193836837374848,0.5031537102473498,0.8826217082543787,0.12618777478371862,4.158559380556437,3.2026098434112527e-05
PCR,512,-0.0026593234760081685,0.0010677044277574385,0.018188558770610624,0.5069611307420495,0.8602546620149822,0.15621897603176854,7.37904196925935,1.5942802633617248e-13
PLS,5,-0.0024342469672420375,0.0010674647499532557,0.018193154429380076,0.5036925795053003,0.8776630598402607,0.132233016593391,4.611373860752251,4.0001636227859905e-06
PLS,21,-0.0024748991388845454,0.0010675080393364436,0.01819382668295733,0.5028091872791519,0.8637965537393522,0.14434122819458234,3.5400872739592644,0.0003999947334023535
PLS,252,-0.0027926111133091958,0.0010678463621085978,0.018191418084500602,0.503648409893993,0.8565888040802593,0.1532406750815487,4.236527398689194,2.2700323224711383e-05
PLS,512,-0.003471493350762911,0.0010685692851931231,0.01818522974577605,0.5065106007067138,0.8415357642516869,0.17405332576939442,6.591694551391364,4.348343907167873e-11
RF,5,-0.05255274574762092,0.0011208345654104665,0.018859079515162774,0.49864840989399295,0.5378893867214479,0.46223939866685576,-0.8519723772103269,0.3942294235548316
RF,21,-0.051808653756559186,0.0011200422022469134,0.01875021605344521,0.49848056537102475,0.5384206704801034,0.461370727556375,-0.9643286705305443,0.33488117111689464
RF,252,-0.044889728385161254,0.0011126744282868068,0.018709337518286205,0.49979681978798585,0.5421750757079357,0.46025386470004254,-0.07204021940206586,0.9425699005298498
RF,512,-0.04799440080422013,0.0011159805088377496,0.01872000803374557,0.4981183745583039,0.5453273593426249,0.4537299673805134,-1.1987894977395779,0.23060980726352387
Ridge,5,-0.00243423449745106,0.0010674647366745174,0.018193154396213856,0.5036925795053003,0.8776630598402607,0.132233016593391,4.611373860752251,4.0001636227859905e-06
Ridge,21,-0.002474881258913708,0.0010675080202965528,0.018193826631794523,0.5028091872791519,0.8637965537393522,0.14434122819458234,3.5400872739592644,0.0003999947334023535
Ridge,252,-0.002792591481960205,0.0010678463412037125,0.018191418053429012,0.503648409893993,0.8565888040802593,0.1532406750815487,4.236527398689194,2.2700323224711383e-05
