Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
Lasso,5,-0.002,0.001,0.018,0.571,0.574,0.571
Lasso,21,-0.002,0.001,0.018,0.577,0.58,0.576
Lasso,252,-0.003,0.001,0.018,0.618,0.623,0.616
Lasso,512,-0.003,0.001,0.018,0.662,0.666,0.661
OLS,5,-0.002,0.001,0.018,0.572,0.575,0.572
OLS,21,-0.002,0.001,0.018,0.577,0.58,0.576
OLS,252,-0.003,0.001,0.018,0.617,0.622,0.615
OLS,512,-0.003,0.001,0.018,0.661,0.665,0.66
PCR,5,-0.002,0.001,0.018,0.572,0.575,0.572
PCR,21,-0.002,0.001,0.018,0.559,0.561,0.559
PCR,252,-0.002,0.001,0.018,0.598,0.601,0.597
PCR,512,-0.003,0.001,0.018,0.646,0.65,0.645
PLS,5,-0.002,0.001,0.018,0.572,0.575,0.572
PLS,21,-0.002,0.001,0.018,0.577,0.58,0.576
PLS,252,-0.003,0.001,0.018,0.617,0.622,0.615
PLS,512,-0.003,0.001,0.018,0.661,0.665,0.66
RF,5,-0.053,0.001,0.019,0.484,0.485,0.485
RF,21,-0.052,0.001,0.019,0.489,0.489,0.49
RF,252,-0.045,0.001,0.019,0.495,0.497,0.495
RF,512,-0.048,0.001,0.019,0.496,0.497,0.497
Ridge,5,-0.002,0.001,0.018,0.572,0.575,0.572
Ridge,21,-0.002,0.001,0.018,0.577,0.58,0.576
Ridge,252,-0.003,0.001,0.018,0.617,0.622,0.615
Ridge,512,-0.003,0.001,0.018,0.661,0.665,0.66
NN1,5,-0.018,0.001,0.018,0.5,0.402,0.6
NN1,21,-0.017,0.001,0.018,0.498,0.549,0.45
NN1,252,-0.028,0.001,0.018,0.494,0.206,0.786
NN1,512,-0.01,0.001,0.018,0.503,0.819,0.19
NN2,5,-0.056,0.001,0.018,0.496,0.641,0.354
NN2,21,-0.06,0.001,0.018,0.498,0.435,0.564
NN2,252,-0.028,0.001,0.018,0.499,0.9,0.101
NN2,512,-0.045,0.001,0.018,0.5,0.688,0.316
NN3,5,-0.044,0.001,0.018,0.493,0.311,0.679
NN3,21,-0.074,0.001,0.018,0.493,0.163,0.826
NN3,252,-0.037,0.001,0.018,0.5,0.814,0.19
NN3,512,-0.096,0.001,0.018,0.497,0.359,0.638
NN4,5,-0.073,0.001,0.018,0.5,0.953,0.049
NN4,21,-0.05,0.001,0.018,0.5,0.911,0.092
NN4,252,-0.029,0.001,0.018,0.502,0.864,0.142
NN4,512,-0.014,0.001,0.018,0.502,0.798,0.208
NN5,5,-0.047,0.001,0.018,0.495,0.074,0.919
NN5,21,-0.076,0.001,0.018,0.495,0.156,0.837
NN5,252,-0.065,0.001,0.018,0.503,0.904,0.104
NN5,512,-0.073,0.001,0.018,0.499,0.06,0.941
Chronos,5,-1.322,0.003,0.023,0.472,0.442,0.503
Chronos,21,-0.166,0.001,0.019,0.485,0.445,0.523
Chronos,252,-0.027,0.001,0.018,0.494,0.507,0.473
Chronos,512,-0.025,0.001,0.018,0.497,0.439,0.546
TimeFm,5,-0.271,0.001,0.021,0.489,0.505,0.474
TimeFm,21,-0.117,0.001,0.019,0.493,0.518,0.465
TimeFm,252,-0.046,0.001,0.019,0.497,0.486,0.501
TimeFm,512,-0.034,0.001,0.019,0.499,0.518,0.473
Uni2Ts,5,-0.463,0.002,0.023,0.497,0.845,0.147
Uni2Ts,21,-0.296,0.001,0.022,0.502,0.983,0.017
Uni2Ts,252,-0.255,0.001,0.022,0.501,0.999,0.001
Uni2Ts,512,-0.244,0.001,0.022,0.502,0.999,0.001
