Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
OLS,5,-0.0024342469672420375,0.001067464749953256,0.01819315442938008,0.5036925795053003,0.8776630598402607,0.132233016593391
Ridge,5,-0.0024238848824995607,0.0010674537156532685,0.018193133695709445,0.5037190812720848,0.8781943435989161,0.13175436108353425
Lasso,5,-0.0007704448228631477,0.0010656930126593691,0.0181946377325563,0.5000353356890459,0.9778100483468221,0.02464189476669976
PLS,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5036925795053003,0.8776630598402607,0.132233016593391
PCR,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5036925795053003,0.8776630598402607,0.132233016593391
RF,5,-0.005713454366420345,0.0010709566880200158,0.01819727234917232,0.49901943462897524,0.9987249189792268,0.0016664302935753793
OLS,21,-0.0024748991405414422,0.0010675080393382078,0.01819382668298675,0.5028091872791519,0.8637965537393522,0.14434122819458234
Ridge,21,-0.002450673966777339,0.0010674822426147493,0.018193596706878597,0.5024028268551237,0.8654966617670498,0.14182385477237272
Lasso,21,-0.0007139952770112146,0.001065632901085438,0.018193758834282873,0.500017667844523,0.9804487576814777,0.021964969507871225
PLS,21,-0.0024748991388845454,0.0010675080393364436,0.01819382668295733,0.5028091872791519,0.8637965537393522,0.14434122819458234
PCR,21,-0.001966074807791429,0.0010669662062546194,0.018193697977804634,0.502464664310954,0.8915472753997911,0.11587008934902851
RF,21,-0.00818521631468383,0.001073588799560528,0.018200185047737686,0.49907243816254415,0.9994332973241008,0.0010636789107927953
OLS,252,-0.0027926111134621845,0.0010678463621087608,0.01819141808448628,0.503648409893993,0.8565888040802593,0.1532406750815487
Ridge,252,-0.0027357175741502537,0.001067785777738365,0.018190786818092147,0.5040812720848057,0.8649122496325288,0.1457771947241526
Lasso,252,-0.0009559730453063686,0.00106589057657758,0.018190668697682634,0.5013604240282685,0.9666707988736785,0.03845199262515955
PLS,252,-0.002792611113309418,0.001067846362108598,0.018191418084500602,0.503648409893993,0.8565888040802593,0.1532406750815487
PCR,252,-0.002116759672137203,0.00106712666643595,0.018193836837374855,0.5031537102473498,0.8826217082543787,0.12618777478371862
RF,252,-0.006137014738471835,0.00107140772584919,0.018197855671044923,0.49896643109540634,0.9993093311137479,0.0009750390015600624
OLS,512,-0.003471493342460219,0.001068569285184282,0.01818522974568845,0.5065106007067138,0.8415357642516869,0.17405332576939442
Ridge,512,-0.003442006935584052,0.0010685378859179077,0.018185230565554173,0.5066696113074205,0.8431827439035189,0.17272372713090342
Lasso,512,-0.0013422458340117682,0.0010663019078814102,0.01818412976816054,0.5053975265017668,0.9258504967503144,0.08741667848532123
PLS,512,-0.003471493350762911,0.0010685692851931231,0.01818522974577605,0.5065106007067138,0.8415357642516869,0.17405332576939442
PCR,512,-0.0026593234760081685,0.0010677044277574385,0.018188558770610624,0.5069611307420495,0.8602546620149822,0.15621897603176854
RF,512,-0.006495551416420886,0.0010717895217290036,0.01820068484439315,0.4991077738515901,0.9989728513999327,0.001595518366189193
