Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
OLS,5,-0.0024342469672420375,0.001067464749953256,0.01819315442938008,0.5720545234498537,0.5745114516100195,0.5718016581073738
Ridge,5,-0.0024238848824995607,0.0010674537156532685,0.018193133695709445,0.572010353448352,0.5744578140923638,0.571766602983191
Lasso,5,-0.0007704448228631477,0.0010656930126593691,0.0181946377325563,0.520048763681658,0.5222506302408324,0.5198499640684977
PLS,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5720545234498537,0.5745114516100195,0.5718016581073738
PCR,5,-0.0024342469672420375,0.0010674647499532557,0.01819315442938008,0.5720545234498537,0.5745114516100195,0.5718016581073738
RF,5,-0.005713454366420345,0.0010709566880200158,0.01819727234917232,0.035097483193314426,0.03963812554754966,0.030778399032478573
OLS,21,-0.0024748991405414422,0.0010675080393382078,0.01819382668298675,0.5769573936165514,0.5799645992383472,0.576183548630221
Ridge,21,-0.002450673966777339,0.0010674822426147493,0.018193596706878597,0.5769927296177528,0.5798752033755877,0.5763412966890435
Lasso,21,-0.0007139952770112146,0.001065632901085438,0.018193758834282873,0.5362414862322106,0.5382167313296741,0.5363258724344031
PLS,21,-0.0024748991388845454,0.0010675080393364436,0.01819382668295733,0.5769573936165514,0.5799645992383472,0.576183548630221
PCR,21,-0.001966074807791429,0.0010669662062546194,0.018193697977804634,0.5587063489960159,0.5607087303999571,0.5588487897218376
RF,21,-0.00818521631468383,0.001073588799560528,0.018200185047737686,0.04283606745642629,0.05007956231785593,0.03589644716316408
OLS,252,-0.0027926111134621845,0.0010678463621087608,0.01819141808448628,0.6172316009858745,0.6221952048059216,0.614691602545002
Ridge,252,-0.0027357175741502537,0.001067785777738365,0.018190786818092147,0.6171344269825705,0.6222488423235772,0.6144462166757225
Lasso,252,-0.0009559730453063686,0.00106589057657758,0.018190668697682634,0.6441134638998578,0.6476909048649229,0.6430336704467775
PLS,252,-0.002792611113309418,0.001067846362108598,0.018191418084500602,0.6172316009858745,0.6221952048059216,0.614691602545002
PCR,252,-0.002116759672137203,0.00106712666643595,0.018193836837374855,0.5978763063277944,0.6009726269868231,0.5970939302052477
RF,252,-0.006137014738471835,0.00107140772584919,0.018197855671044923,0.03992084735730881,0.04564552752498614,0.0344591870716702
OLS,512,-0.003471493342460219,0.001068569285184282,0.01818522974568845,0.6613751004867534,0.6650158230677085,0.6602983191067955
Ridge,512,-0.003442006935584052,0.0010685378859179077,0.018185230565554173,0.6612955944840502,0.6650515814128122,0.6601055159237902
Lasso,512,-0.0013422458340117682,0.0010663019078814102,0.01818412976816054,0.6793522910979779,0.6826625663764281,0.6786672041785708
PLS,512,-0.003471493350762911,0.0010685692851931231,0.01818522974577605,0.6613751004867534,0.6650158230677085,0.6602983191067955
PCR,512,-0.0026593234760081685,0.0010677044277574385,0.018188558770610624,0.6463307979752472,0.650372780747707,0.6448039542180078
RF,512,-0.006495551416420886,0.0010717895217290036,0.01820068484439315,0.04996510569881359,0.060717669986233035,0.039612290326538485
