Model,Rolling Window,Mean Return (Daily),Daily Volatility,Annualized Volatility,Sharpe Ratio (Daily)
Chronos Base,5,-0.001143,0.018354,0.291364,-0.06228
Chronos Small,5,-0.001266,0.018328,0.290942,-0.069079
Lasso,5,-0.00042,0.018709,0.297001,-0.02244
NN1,5,-0.000445,0.018888,0.299844,-0.023564
NN2,5,-0.000913,0.018713,0.297058,-0.048774
NN3,5,-0.000871,0.020001,0.317505,-0.04353
NN4,5,-0.000872,0.019616,0.311396,-0.044474
NN5,5,-0.001084,0.018919,0.300325,-0.057291
OLS,5,-0.000391,0.018714,0.297081,-0.020878
PCR,5,-0.000391,0.018714,0.297081,-0.020878
PLS,5,-0.000391,0.018714,0.297081,-0.020878
RF,5,-0.000693,0.019319,0.306675,-0.035862
Ridge,5,-0.000391,0.018714,0.297081,-0.020878
TimeFm,5,-0.001571,0.018776,0.298055,-0.083667
Uni2Ts Base,5,-0.000848,0.015531,0.246554,-0.054573
Uni2Ts Small,5,-0.000819,0.015682,0.248947,-0.052204
Chronos Base,21,-0.001347,0.020914,0.332002,-0.06442
Chronos Small,21,-0.001467,0.021042,0.334032,-0.069731
Lasso,21,-0.000409,0.019245,0.305504,-0.021251
NN1,21,-0.00097,0.019349,0.307152,-0.050109
NN2,21,-0.000811,0.020034,0.318022,-0.040503
NN3,21,-0.001202,0.019787,0.314116,-0.060726
NN4,21,-0.000916,0.019101,0.303214,-0.04797
NN5,21,-0.000766,0.019919,0.316209,-0.038457
OLS,21,-0.000397,0.019271,0.305913,-0.020601
PCR,21,-0.000448,0.0188,0.298437,-0.023839
PLS,21,-0.000397,0.019271,0.305913,-0.020601
RF,21,-0.000862,0.019746,0.313459,-0.043631
Ridge,21,-0.000397,0.019271,0.305913,-0.020601
TimeFm,21,-0.001628,0.019205,0.304865,-0.084748
Uni2Ts Base,21,-0.000547,0.013803,0.219116,-0.039664
Uni2Ts Small,21,-0.000555,0.013526,0.214724,-0.041043
Chronos Base,252,-0.001306,0.021316,0.338381,-0.061279
Chronos Small,252,-0.000942,0.021278,0.337784,-0.044291
Lasso,252,-8.8e-05,0.020044,0.318192,-0.004405
NN1,252,-0.000624,0.018965,0.301053,-0.03293
NN2,252,-0.000784,0.019176,0.304406,-0.040904
NN3,252,-0.000878,0.01993,0.316379,-0.044062
NN4,252,-0.000143,0.017182,0.272751,-0.008327
NN5,252,-0.000812,0.020875,0.331374,-0.038876
OLS,252,-8.5e-05,0.020043,0.318168,-0.004241
PCR,252,-0.000408,0.020198,0.320634,-0.020208
PLS,252,-8.5e-05,0.020043,0.318168,-0.004241
RF,252,-0.000306,0.018391,0.29195,-0.016648
Ridge,252,-8.5e-05,0.020043,0.318168,-0.004241
TimeFm,252,-0.001258,0.019332,0.30688,-0.065052
Uni2Ts Base,252,-0.000286,0.011545,0.183271,-0.024759
Uni2Ts Small,252,-0.000423,0.011683,0.18546,-0.036213
Chronos Base,512,-0.000794,0.020385,0.323609,-0.038973
Chronos Small,512,-0.000373,0.020058,0.318405,-0.018572
Lasso,512,9.6e-05,0.02022,0.32099,0.004751
NN1,512,-0.000138,0.018178,0.28857,-0.007599
NN2,512,-0.000627,0.020493,0.325318,-0.030606
NN3,512,-0.00066,0.018235,0.289474,-0.036184
NN4,512,-0.000304,0.018334,0.291036,-0.016601
NN5,512,-0.000654,0.020317,0.322516,-0.032175
OLS,512,6.8e-05,0.020222,0.321011,0.003379
PCR,512,-6.2e-05,0.020189,0.320492,-0.003077
PLS,512,6.8e-05,0.020222,0.321011,0.003379
RF,512,-0.000503,0.018262,0.289895,-0.027527
Ridge,512,6.8e-05,0.020222,0.321011,0.003379
TimeFm,512,-0.001289,0.019312,0.306566,-0.066722
Uni2Ts Base,512,-0.000208,0.012217,0.193935,-0.017063
Uni2Ts Small,512,-0.000278,0.012031,0.190986,-0.023116
