Model,Rolling Window,PERMNO,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
Chronos Small,5,11174,-2.56783655119122,0.0043468547848936,0.0305498692082066,0.4559270516717325,0.4321907600596125,0.4806201550387597
Chronos Small,5,20512,-1.2041840743411147,0.000645296173749,0.0147140061054263,0.475968992248062,0.4741506646971935,0.4779771615008156
Chronos Small,5,29647,-1.2729575955676349,0.0002966576280091,0.0092833078451463,0.4768875192604006,0.4539877300613497,0.5039001560062403
Chronos Small,5,39731,-1.5113645155560405,0.0045476779850013,0.0366425256988593,0.4365019011406844,0.3851030110935023,0.4888558692421991
Chronos Small,5,40125,-2.444222984983044,0.0034423645842323,0.0232403225134926,0.456437933693138,0.4355828220858895,0.47900466562986
Chronos Small,5,44644,-0.7988031625573757,0.0004216072857482,0.01224715098059,0.4899068322981366,0.5171428571428571,0.4598290598290598
Chronos Small,5,44943,-0.8798341947033155,0.0010462837880749,0.0220618403251721,0.4621270084162203,0.444121915820029,0.4829821717990275
Chronos Small,5,45911,-0.6179035109700246,0.0008598908568827,0.0205998459762815,0.4613618974751339,0.4410480349344978,0.4838709677419355
Chronos Small,5,47466,-0.8955734977958427,0.0005671845485155,0.0148021564830769,0.4953846153846153,0.4602698650674662,0.5332278481012658
Chronos Small,5,47941,-1.5822077845552975,0.0011559909753906,0.0180362308105423,0.4660045836516425,0.4434523809523809,0.4976076555023923
Chronos Small,5,50286,-2.8184230778146766,0.0053190298623273,0.0336769957261098,0.4401805869074492,0.3555956678700361,0.503242542153048
Chronos Small,5,55993,-1.2422764212441608,0.0018113950542807,0.0241624187274119,0.4885145482388974,0.4741506646971935,0.5072
Chronos Small,5,61241,-0.4443858919946972,0.0020743915820791,0.0313107397229371,0.4443603330809992,0.4094256259204712,0.4820592823712948
Chronos Small,5,63773,-0.8499950326279024,0.0011813173220972,0.0201694158117827,0.4758990053557765,0.4679300291545189,0.4854838709677419
Chronos Small,5,66093,-0.7729177766746769,0.000431230264343,0.0128068736941896,0.4678899082568807,0.4548192771084337,0.4820031298904538
Chronos Small,5,75104,-0.8430863211187318,0.0014848202377018,0.0234983302963537,0.4546159813809154,0.4145962732919254,0.4953416149068323
Chronos Small,5,75320,-0.9270273242697504,0.0011237482070901,0.0195194404877675,0.4655963302752293,0.4539969834087481,0.4775193798449612
Chronos Small,5,76226,-1.1383118279573976,0.0018157740991173,0.023792283297318,0.4681992337164751,0.4424514200298953,0.4968454258675079
Chronos Small,5,78405,-1.5314501654407424,0.0005462105917864,0.012301836461832,0.4740458015267175,0.4598214285714285,0.4897959183673469
Chronos Small,5,78840,-0.7889686416990906,0.0009166328759374,0.0198650665613243,0.474040632054176,0.4711111111111111,0.4777947932618683
Chronos Small,5,78971,-2.701271511083512,0.0028085083247298,0.0220792509462934,0.4992435703479576,0.4354587869362364,0.5688622754491018
Chronos Small,5,79033,-1.3184682833701764,0.0014092718163162,0.0214256052216257,0.4723926380368098,0.4405144694533762,0.5022091310751104
Chronos Small,5,79879,-1.6287098285508064,0.0009842249659689,0.0176346951651445,0.4672754946727549,0.413312693498452,0.5241691842900302
Chronos Small,5,80089,-2.0115041760052605,0.0025589215696331,0.0252047393245546,0.4856700232378002,0.4188741721854304,0.5467836257309941
Chronos Small,5,80924,-0.7102629163115897,0.00102685283527,0.0181929610954228,0.439100077579519,0.4188976377952756,0.4677165354330708
Chronos Small,5,81043,-2.291462173369744,0.0014029793401771,0.0176261343440367,0.4847094801223242,0.4501557632398754,0.5211480362537765
Chronos Small,5,81132,-0.8260414588265788,0.0012769480588346,0.024607544997678,0.4543343653250773,0.4562410329985653,0.4536256323777403
Chronos Small,5,81133,-1.3271280901280562,0.001893897038347,0.0266490701628086,0.482253086419753,0.4320388349514563,0.5328358208955224
Chronos Small,5,81740,-1.692541993929757,0.0025670943999998,0.0271538711637866,0.4898572501878287,0.4404761904761904,0.5402124430955993
Chronos Small,5,82281,-4.074909211340467,0.0183425685832401,0.0435188114839939,0.4611280487804878,0.3590604026845637,0.5561877667140825
Chronos Small,5,82646,-0.7972406427824905,0.0005479432592588,0.0154219166112828,0.4744976816074188,0.4463452566096423,0.5054095826893354
Chronos Small,5,82924,-0.9527418597896544,0.0006536557622216,0.0159152662133027,0.4694189602446483,0.4598214285714285,0.4825949367088608
Chronos Small,5,82932,-0.6793984731877201,0.0006417638257068,0.0167855697560217,0.4786324786324786,0.4701492537313433,0.4886363636363636
Chronos Small,5,83604,-0.8217202971955933,0.0004255152019952,0.0138686486702619,0.463020030816641,0.442572741194487,0.4859813084112149
Chronos Small,5,83989,-1.3885900515596,0.0022833773461262,0.0275283168794272,0.4649585531273549,0.4041533546325878,0.5237410071942447
Chronos Small,5,84176,-0.681908607341382,0.0021887451239536,0.0295126977227342,0.477726574500768,0.4546875,0.5045731707317073
Chronos Small,5,85177,-0.7106975249275556,0.0025105527942161,0.0312225702948237,0.4621155288822205,0.4233687405159332,0.5022354694485842
Chronos Small,5,85442,-1.269327604952942,0.000959625724805,0.0190639620076277,0.4660564454614798,0.4305135951661631,0.5030864197530864
Chronos Small,5,86047,-0.9668263618705476,0.0019896218860937,0.0269450531907645,0.4390613171839515,0.4122023809523809,0.4683153013910355
Chronos Small,5,86051,-1.131969854803529,0.003990141499316,0.0377712322097264,0.46580547112462,0.4102564102564102,0.5182481751824818
Chronos Small,5,86144,-0.7679992317365125,0.0003026209736425,0.0104836809299461,0.4834488067744418,0.4834834834834834,0.4864864864864865
Chronos Small,5,86745,-1.2779396626338777,0.0034093107712222,0.0299914248433919,0.4721161191749427,0.3964401294498382,0.543859649122807
Chronos Small,5,86776,-1.1305680546770138,0.0007247450392507,0.0160741216572302,0.4743687834736037,0.463768115942029,0.4901960784313725
