Model,Rolling Window,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
Chronos Base,5,-0.8007357144216798,0.0021423115392856,0.0221783301747938,0.4899776423835923,0.5664396530077891,0.4146931996055935
Chronos Base,21,-0.467428405304499,0.0028998235082707,0.0198309622901256,0.4905604782435162,0.5332983776393302,0.4467556030674799
Chronos Base,252,-0.0716513179019281,0.0011864543531291,0.0182412713107733,0.4957407071148368,0.3708905982250624,0.6181478629121891
Chronos Base,512,-0.0534727900789222,0.001142838389692,0.0181635311048695,0.4956271651964348,0.3162275944501558,0.6745307797617154
Chronos Small,5,-1.305181329247744,0.0025533122526104,0.022800120109997,0.4681101966292567,0.4381115449674451,0.4991032542929996
Chronos Small,21,-0.1745205701622298,0.0013043663125957,0.0189979970848955,0.4804783389329911,0.4399797965148472,0.5198078450719072
Chronos Small,252,-0.0326381879949936,0.0011125845957504,0.0181217174255428,0.4913987634562253,0.5062688039692116,0.4694294913625581
Chronos Small,512,-0.0335548687782114,0.001146152520609,0.0181306133526545,0.4934634187725248,0.4345692944292478,0.5454198264766833
TimeFm,5,-0.271443502656032,0.0013442303431692,0.0210505366378397,0.4891872791519434,0.5048854104858962,0.473829260917927
TimeFm,21,-0.1166919308375,0.0011806454218175,0.0194698780688839,0.4925883392226148,0.5184566410682385,0.4650127706955128
TimeFm,252,-0.0459250695025056,0.0011181606638503,0.0186062779293192,0.4965459363957597,0.4862147953894963,0.5012583586832882
TimeFm,512,-0.0337726246447773,0.0011071674354429,0.0185184753170833,0.4988515901060071,0.51800930668132,0.4728352108200975
Uni2Ts Base,5,-0.4631361919196319,0.0016725210690957,0.0232192072391311,0.4973384854068751,0.8448716961430729,0.1473679146618461
Uni2Ts Base,21,-0.296150659806712,0.0014770426185841,0.02225147703231,0.5015497413862654,0.9828283451943044,0.0171791516327672
Uni2Ts Base,252,-0.2545070976969896,0.001406307144498,0.022267056298229,0.5014394849917357,0.9987909810304284,0.0011314125795125
Uni2Ts Base,512,-0.2436619601665656,0.0013919008145458,0.0221491659861969,0.5016127256825217,0.9990079844062084,0.0012660887509365
Uni2Ts Small,5,-0.4692751947817607,0.0016811524348786,0.0232320917882006,0.4973763456456829,0.845260789797583,0.1470692819281356
Uni2Ts Small,21,-0.2986634071691604,0.0014712620343478,0.0222514417654084,0.5012145587253803,0.982773516523212,0.0165351504594004
Uni2Ts Small,252,-0.2529368113327851,0.0013999234352967,0.022233246994102,0.5015061740369069,0.9986661948988628,0.0013945769606967
Uni2Ts Small,512,-0.2436497393178555,0.0013935665774015,0.0221577558532882,0.5016048791369776,0.9989221744928096,0.0013390560837529
