Model,Rolling Window,PERMNO,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
timefm,5,11174,-0.2618672628316463,0.0013584892844611242,0.024612998470165185,0.4748233215547703,0.4929078014184397,0.45686619718309857
timefm,5,20512,-0.26994814396010414,0.0003788803379950523,0.013395142274789305,0.47835689045936397,0.5299003322259136,0.419811320754717
timefm,5,29647,-0.30368518903862896,0.00017890516553685146,0.008481113978822211,0.4902826855123675,0.529113924050633,0.44972067039106145
timefm,5,39731,-0.3777557277456771,0.0024503409936904854,0.03347081271960526,0.44213780918727913,0.4446494464944649,0.44587628865979384
timefm,5,40125,-0.2647957353290855,0.0013209714540676142,0.021518079762447784,0.48939929328621906,0.5294619982920581,0.4472960586617782
timefm,5,44644,-0.3054524179714122,0.00030650537255874123,0.011803663623120356,0.4836572438162544,0.5648979591836735,0.388996138996139
timefm,5,44943,-0.2948800735124171,0.0008348763713431318,0.021561886489149727,0.4924911660777385,0.5122985581000848,0.47183748845798706
timefm,5,45911,-0.3171665779488557,0.0007642759101084474,0.019821315173220708,0.47747349823321555,0.5127551020408163,0.43933823529411764
timefm,5,47466,-0.23498459533352212,0.0004636288312951495,0.015069895269929325,0.49823321554770317,0.5297670405522001,0.46600181323662737
timefm,5,47941,-0.2656164524395226,0.000606342866270773,0.016826207356876628,0.49469964664310956,0.5093499554764025,0.4862466725820763
timefm,5,50286,-0.24919804979268578,0.002179711218483225,0.030706507000439483,0.48674911660777387,0.43899895724713245,0.5250578257517348
timefm,5,55993,-0.25723765268842547,0.0012150596682062745,0.022844467551428882,0.4796819787985866,0.5228070175438596,0.43828264758497315
timefm,5,61241,-0.2783204017954706,0.0017638325533702302,0.030007039388494253,0.482773851590106,0.5182608695652174,0.44694244604316546
timefm,5,63773,-0.1828916238112659,0.0013455303049548157,0.020648442853083693,0.48542402826855124,0.5090751944684528,0.46153846153846156
timefm,5,66093,-0.2974309821140173,0.0002792716200662968,0.011366381995308563,0.48674911660777387,0.5183603757472246,0.4558011049723757
timefm,5,75104,-0.31062134354564286,0.0011084689493974817,0.02147634767683824,0.4929328621908127,0.49069973427812225,0.49646643109540634
timefm,5,75320,-0.18729502223771344,0.0012995867794974335,0.01988228674801616,0.4876325088339223,0.5056082830025884,0.4696282864913871
timefm,5,76226,-0.26133512589257446,0.0011368897601511795,0.021823042181302467,0.5061837455830389,0.5060763888888888,0.5081227436823105
timefm,5,78405,-0.28375072611853747,0.0002554044101112522,0.010705377061169209,0.5079505300353356,0.5343053173241853,0.4812785388127854
timefm,5,78840,-0.24986046735714273,0.0007720586346938041,0.01979132581454129,0.5008833922261484,0.5352233676975945,0.4658158614402917
timefm,5,78971,-0.2064749916066002,0.000901117764736827,0.020393046975144873,0.4907243816254417,0.47962962962962963,0.5072711719418306
timefm,5,79033,-0.31784422342502205,0.0007907319674694993,0.01851812106502208,0.4624558303886926,0.4396313364055299,0.4859335038363171
timefm,5,79879,-0.2853730634337013,0.0005907425046745332,0.017131384709691003,0.4911660777385159,0.5076096687555953,0.47975352112676056
timefm,5,80089,-0.2486708956670598,0.0009891783613402638,0.02215658832625428,0.5220848056537103,0.4866666666666667,0.555923777961889
timefm,5,80924,-0.23371289456145217,0.0006660015054290164,0.016251297227629673,0.4920494699646643,0.5089928057553957,0.4858156028368794
timefm,5,81043,-0.2569626692388909,0.000507235833425023,0.01594533001972985,0.5004416961130742,0.5062388591800356,0.49735915492957744
timefm,5,81132,-0.2814848849018743,0.0008908000339139504,0.022199734336072655,0.49425795053003535,0.5431684828164292,0.44059869036482696
timefm,5,81133,-0.2629361720809218,0.001092348020469891,0.02409504332757212,0.48056537102473496,0.46983546617915906,0.49696969696969695
timefm,5,81740,-0.24909447246869632,0.001326456657700485,0.02497413863381846,0.5123674911660777,0.5076923076923077,0.5172711571675302
timefm,5,82281,-0.23555810253144216,0.0038269161269876566,0.03854334367875883,0.4902826855123675,0.4626865671641791,0.5193236714975845
timefm,5,82646,-0.2994845210289776,0.00038829738689440964,0.014060823476431974,0.48498233215547704,0.48596491228070177,0.48614834673815904
timefm,5,82924,-0.27566285944719193,0.0004962666776439351,0.015166842586985196,0.48498233215547704,0.5336170212765957,0.43490304709141275
timefm,5,82932,-0.3115559385094737,0.0005651688800286427,0.01608276773391629,0.48895759717314485,0.5372881355932203,0.43674976915974145
timefm,5,83604,-0.28778282706285885,0.0002987103630570533,0.012797397786657989,0.47747349823321555,0.479646017699115,0.47741364038972545
timefm,5,83989,-0.26773598970918444,0.0014047077521491208,0.02589680208758418,0.5,0.49157303370786515,0.5113732097725358
timefm,5,84176,-0.29054028350223216,0.001981210407373031,0.029066935427730114,0.5097173144876325,0.5146927871772039,0.5079365079365079
timefm,5,85177,-0.28315636077392203,0.0019099011166721187,0.029177532160919076,0.48056537102473496,0.49594229035166815,0.4678260869565217
timefm,5,85442,-0.3262497885847935,0.0005590355681811077,0.0172433992449481,0.4902826855123675,0.5398305084745763,0.43674976915974145
timefm,5,86047,-0.24979934367612966,0.0012764185989514987,0.02494866787986552,0.49514134275618377,0.5313588850174216,0.46077547339945896
timefm,5,86051,-0.2512054844108522,0.0024914322139210263,0.03455352570245096,0.48984098939929327,0.48973880597014924,0.49491525423728816
timefm,5,86144,-0.2799058605462672,0.0002170607940118781,0.009860527321289747,0.5079505300353356,0.5473773265651438,0.4670380687093779
timefm,5,86745,-0.26076209413200835,0.0017637002798651022,0.02697271103677826,0.5,0.47587511825922424,0.5259197324414716
timefm,5,86776,-0.28938285168539846,0.00039198070022535616,0.013967694322306531,0.482773851590106,0.5354397950469684,0.429097605893186
timefm,5,86869,-0.2831457669146016,0.00028605667682105626,0.012152685759058653,0.5,0.5249780893952674,0.4819168173598553
timefm,5,86916,-0.26188287122051923,0.015654929879786516,0.050455635409778266,0.4465547703180212,0.4142300194931774,0.4771986970684039
timefm,5,86929,-0.2432250902648696,0.0009463515088015645,0.021312366913800878,0.4911660777385159,0.5095541401273885,0.4754521963824289
timefm,5,86996,-0.3232333243079246,0.00040547317974925395,0.01426140139518091,0.5070671378091873,0.5597326649958229,0.44840525328330205
timefm,5,87075,-0.26548253101524577,0.0005408052494212278,0.016501766016315984,0.4836572438162544,0.507679180887372,0.458295142071494
timefm,5,87179,-0.27482615468866545,0.0006165929444906985,0.016980514091303488,0.49381625441696114,0.49423247559893524,0.4947089947089947
timefm,5,87344,-0.21494924994047881,0.0034168577180108397,0.03504647385024249,0.46952296819787986,0.42884990253411304,0.5114942528735632
timefm,21,11174,-0.10185070414351372,0.00118622015068047,0.022768838523002596,0.48984098939929327,0.5159574468085106,0.4639084507042254
timefm,21,20512,-0.11379135911945393,0.00033229202988024095,0.012387449201469206,0.5030918727915195,0.574750830564784,0.4216981132075472
timefm,21,29647,-0.150266540040646,0.00015785147172625854,0.007895934799957545,0.4929328621908127,0.5814345991561182,0.39757914338919925
timefm,21,39731,-0.1509082009123348,0.002046892266805826,0.030503763247363022,0.44213780918727913,0.4160516605166052,0.4725085910652921
timefm,21,40125,-0.09981844124458128,0.001148666717446847,0.019801719865691778,0.4787985865724382,0.533731853116994,0.42071494042163154
timefm,21,44644,-0.12366698252744857,0.000263824220913944,0.01077134200348745,0.49734982332155475,0.6489795918367347,0.3194980694980695
timefm,21,44943,-0.11763337313625999,0.00072059622674164,0.01988578506226953,0.4995583038869258,0.5691263782866837,0.4247460757156048
timefm,21,45911,-0.12482905506539099,0.000652673522217102,0.01826718044298555,0.4924911660777385,0.5450680272108843,0.43566176470588236
timefm,21,47466,-0.10975531581324804,0.00041661617645937123,0.014092074505037298,0.4911660777385159,0.5306298533218292,0.45058930190389845
timefm,21,47941,-0.1207956803592114,0.0005369608336103542,0.015786118157957676,0.46466431095406363,0.4924309884238646,0.4427684117125111
timefm,21,50286,-0.11406054163871682,0.0019439113446281873,0.028638201902068762,0.4960247349823322,0.42127215849843586,0.5543562066306862
timefm,21,55993,-0.12433647905119316,0.0010866170817163045,0.021135574001610414,0.49337455830388693,0.5701754385964912,0.41771019677996424
timefm,21,61241,-0.11450259142043606,0.001537795961639804,0.027542139826897967,0.48100706713780916,0.5443478260869565,0.41636690647482016
timefm,21,63773,-0.10775658776499908,0.0012600647678514313,0.019335389528077732,0.48895759717314485,0.526361279170268,0.4506787330316742
timefm,21,66093,-0.14265552882458787,0.0002459562513241344,0.010529458723389083,0.5066254416961131,0.5721605465414176,0.43922651933701656
timefm,21,75104,-0.10621079265663336,0.0009355870184678945,0.01980477723962044,0.48586572438162545,0.4658990256864482,0.5070671378091873
timefm,21,75320,-0.09343028093786954,0.0011968445169851928,0.018433546214104986,0.4818904593639576,0.4943917169974116,0.4696282864913871
timefm,21,76226,-0.08336562523677293,0.0009764790185795286,0.020211286239873227,0.5026501766784452,0.4965277777777778,0.5108303249097473
timefm,21,78405,-0.12733753217332056,0.00022428573674233347,0.009982359489235699,0.5044169611307421,0.5454545454545454,0.4621004566210046
timefm,21,78840,-0.09404291416588517,0.0006758076606690403,0.01817143402997009,0.5110424028268551,0.5730240549828178,0.44667274384685507
timefm,21,78971,-0.09157322540660795,0.0008152974838004011,0.019049576146873446,0.4880742049469965,0.45555555555555555,0.5243798118049615
timefm,21,79033,-0.19040098959291174,0.0007142635676104977,0.017358773958304763,0.46113074204946997,0.43502304147465437,0.4876385336743393
timefm,21,79879,-0.1232677052751987,0.0005162407681561878,0.015793760414134005,0.5013250883392226,0.5147717099373321,0.49295774647887325
timefm,21,80089,-0.10045988476658296,0.0008717678207375714,0.02060412439470887,0.5167844522968198,0.4438095238095238,0.5832642916321458
timefm,21,80924,-0.09786023877932193,0.0005926634754333172,0.01525306556496669,0.49823321554770317,0.5359712230215827,0.4716312056737589
timefm,21,81043,-0.11153762485050356,0.00044855088167869927,0.014906632812261875,0.49381625441696114,0.5071301247771836,0.48327464788732394
timefm,21,81132,-0.11598759912408885,0.0007757577189241745,0.020393989478123226,0.4902826855123675,0.5901089689857502,0.37979420018709076
