Model,Rolling Window,Mean Return (Daily),Daily Volatility,Annualized Volatility,Sharpe Ratio (Daily)
Chronos Base,5,-0.000557,0.008112,0.128771,-0.068614
Chronos Small,5,-0.000516,0.008301,0.131778,-0.062107
Lasso,5,8.3e-05,0.008085,0.128351,0.010246
NN1,5,-5.4e-05,0.007721,0.122561,-0.00703
NN2,5,-0.000292,0.007842,0.124486,-0.037205
NN3,5,-0.000409,0.008048,0.127751,-0.050765
NN4,5,-0.000274,0.007913,0.125614,-0.034637
NN5,5,-0.000466,0.007778,0.123466,-0.059965
OLS,5,7.6e-05,0.00809,0.128418,0.009399
PCR,5,7.6e-05,0.00809,0.128418,0.009399
PLS,5,7.6e-05,0.00809,0.128418,0.009399
RF,5,-0.000341,0.007964,0.126422,-0.042859
Ridge,5,7.6e-05,0.00809,0.128418,0.009399
TimeFm,5,-0.000581,0.008528,0.135383,-0.068175
Uni2Ts Base,5,-0.000425,0.007922,0.125755,-0.053668
Uni2Ts Small,5,-0.000409,0.007868,0.124897,-0.05194
Chronos Base,21,-0.00056,0.008297,0.131715,-0.0675
Chronos Small,21,-0.000414,0.008212,0.130365,-0.050355
Lasso,21,-1.9e-05,0.008068,0.128073,-0.002302
NN1,21,-0.000358,0.007977,0.126635,-0.044907
NN2,21,-0.000235,0.007798,0.123793,-0.030124
NN3,21,-0.000444,0.008286,0.13154,-0.053577
NN4,21,-0.000301,0.007779,0.12349,-0.038642
NN5,21,-0.000315,0.007969,0.126508,-0.03952
OLS,21,-4.4e-05,0.008119,0.128881,-0.005434
PCR,21,3.6e-05,0.008063,0.127998,0.004511
PLS,21,-4.4e-05,0.008119,0.128881,-0.005434
RF,21,-0.000267,0.007873,0.124984,-0.033955
Ridge,21,-4.4e-05,0.008119,0.128881,-0.005434
TimeFm,21,-0.000602,0.008584,0.136265,-0.070181
Uni2Ts Base,21,-0.000213,0.00767,0.121764,-0.027785
Uni2Ts Small,21,-0.000337,0.007645,0.121353,-0.04403
Chronos Base,252,-0.000351,0.008506,0.135021,-0.041295
Chronos Small,252,-0.000219,0.008322,0.132105,-0.026374
Lasso,252,0.00011,0.008048,0.127753,0.01373
NN1,252,-0.000356,0.007887,0.125196,-0.045086
NN2,252,-0.000164,0.00772,0.122549,-0.021286
NN3,252,-0.000339,0.007737,0.122817,-0.043795
NN4,252,-2.7e-05,0.007586,0.120422,-0.003607
NN5,252,-0.000139,0.008121,0.128911,-0.017145
OLS,252,0.000106,0.007999,0.126975,0.013311
PCR,252,-2.5e-05,0.008144,0.129276,-0.003039
PLS,252,0.000106,0.007999,0.126975,0.013311
RF,252,-0.00011,0.007793,0.123708,-0.014168
Ridge,252,0.000106,0.007999,0.126975,0.013311
TimeFm,252,-0.000491,0.008646,0.137248,-0.056746
Uni2Ts Base,252,-1.5e-05,0.007637,0.121232,-0.001908
Uni2Ts Small,252,-0.000113,0.007692,0.122108,-0.01468
Chronos Base,512,-0.000306,0.008756,0.139004,-0.034894
Chronos Small,512,-0.000232,0.00838,0.133026,-0.027734
Lasso,512,0.000151,0.007983,0.126719,0.018955
NN1,512,-9.7e-05,0.007488,0.11887,-0.012986
NN2,512,-0.000226,0.00807,0.128111,-0.028008
NN3,512,-0.000184,0.007579,0.120305,-0.024259
NN4,512,1.4e-05,0.007633,0.121176,0.001858
NN5,512,-7.8e-05,0.007939,0.126029,-0.009875
OLS,512,0.000152,0.008001,0.127005,0.01898
PCR,512,0.000102,0.008052,0.12782,0.012662
PLS,512,0.000152,0.008001,0.127005,0.01898
RF,512,-0.000154,0.007706,0.122335,-0.019952
Ridge,512,0.000152,0.008001,0.127005,0.01898
TimeFm,512,-0.000386,0.008404,0.133413,-0.045964
Uni2Ts Base,512,-3.8e-05,0.007506,0.11915,-0.005041
Uni2Ts Small,512,-2e-05,0.007623,0.121014,-0.002626
