Model,Rolling Window,PERMNO,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
unit2ts,5,11174,-0.43903891326987643,0.001546121849759829,0.0267942530079206,0.5021961932650073,0.8476374156219865,0.1482213438735178
unit2ts,5,20512,-0.4597632210635316,0.00044359436616763865,0.01464934836195355,0.5179009318293281,0.8815298507462687,0.11478800413650465
unit2ts,5,29647,-0.3539638221109318,0.0001884480845216858,0.009013888189718927,0.5213759213759214,0.8694835680751174,0.13989637305699482
unit2ts,5,39731,-0.5103032340484837,0.002765640093456843,0.03669606484175828,0.4687651331719128,0.8505050505050505,0.11898016997167139
unit2ts,5,40125,-0.438594914597519,0.0016097150154534034,0.024371547677936107,0.5002444987775061,0.8507604562737643,0.12916246215943492
unit2ts,5,44644,-0.3888779019657289,0.0003313116061056007,0.012533196476925515,0.5192965315095261,0.8840579710144928,0.0925531914893617
unit2ts,5,44943,-0.46102771584729596,0.000949425983676001,0.02321780893657843,0.5036390101892285,0.8505106778087279,0.12423625254582485
unit2ts,5,45911,-0.40495278140168756,0.0008295717376297761,0.02090907000369322,0.5175438596491229,0.8572752548656163,0.1408016443987667
unit2ts,5,47466,-0.428962864857692,0.0005403873466836208,0.016613444204686335,0.5048685491723467,0.8455743879472694,0.1404040404040404
unit2ts,5,47941,-0.45193862428169385,0.0007150823791232251,0.01848377512905813,0.4963609898107715,0.8404255319148937,0.15202369200394866
unit2ts,5,50286,-0.5732806233411691,0.0028160406633779902,0.03483231842314944,0.4386048733874821,0.8034285714285714,0.17768595041322313
unit2ts,5,55993,-0.4152704128566178,0.0013992180436440088,0.025054426654398426,0.5012118274357732,0.8609523809523809,0.12909632571996027
unit2ts,5,61241,-0.5073159915564251,0.0021135495709970384,0.03304350884372562,0.494484412470024,0.8469483568075117,0.12671905697445973
unit2ts,5,63773,-0.5320691275699323,0.001766359743698609,0.023115798374595237,0.5075279261777562,0.8543233082706767,0.13695871097683787
unit2ts,5,66093,-0.45746553299219683,0.00032197155953283353,0.012347250024718247,0.5128578360019408,0.8782112274024738,0.13359920239282153
unit2ts,5,75104,-0.4766103544608802,0.0013065937881093564,0.024013656803993953,0.49779086892488955,0.8231292517006803,0.16616915422885573
unit2ts,5,75320,-0.6095960015440645,0.0018196879989032804,0.022542826583752226,0.49709020368574197,0.8407582938388626,0.1373134328358209
unit2ts,5,76226,-0.45459554046623696,0.0013693925334522705,0.02424628515214506,0.5119570522205954,0.8248803827751197,0.187
unit2ts,5,78405,-0.43200043121817266,0.0002902831580399987,0.011516646092074898,0.5167557066537154,0.8547008547008547,0.16350947158524426
unit2ts,5,78840,-0.44080157593093916,0.0008918243735686664,0.02148887643790091,0.5076997112608277,0.8547486033519553,0.13686313686313686
unit2ts,5,78971,-0.4205316526978766,0.0010958104091554183,0.022670952178458496,0.47518072289156627,0.8035892323030908,0.17029328287606432
unit2ts,5,79033,-0.5565143447791747,0.000980873098460339,0.02091386106743259,0.4756335282651072,0.84560327198364,0.13951310861423222
unit2ts,5,79879,-0.4523959267952482,0.0006756769807373213,0.01864135282973638,0.4881240911294232,0.8505859375,0.13229571984435798
unit2ts,5,80089,-0.4276940512721388,0.0011767443128912582,0.02444029489589618,0.4997552618697993,0.8078920041536864,0.22646784715750232
unit2ts,5,80924,-0.5710631835610529,0.0008688056253311265,0.017957698003914706,0.4848780487804878,0.8424725822532403,0.14565004887585534
unit2ts,5,81043,-0.4141613656167915,0.0005880237478820513,0.017246993199282246,0.5002428363283147,0.8381782945736435,0.1616062683643487
unit2ts,5,81132,-0.408935413932346,0.0010045345486142288,0.023531474418137414,0.5202340321794247,0.8592321755027422,0.13298429319371727
unit2ts,5,81133,-0.4299737766354834,0.0012623802352976267,0.026166192233024535,0.4875061244487996,0.8207171314741036,0.16731898238747553
unit2ts,5,81740,-0.5163716596696517,0.0016706166584549828,0.028144936401392,0.5,0.8093841642228738,0.19961977186311788
unit2ts,5,82281,-0.5162439454630816,0.0048982514462979024,0.04414863526971462,0.45489815712900095,0.8053763440860215,0.16950672645739912
unit2ts,5,82646,-0.40767225335054014,0.00042847872089947384,0.014997996344832622,0.4916911045943304,0.846079380445305,0.13095238095238096
unit2ts,5,82924,-0.40255621279051845,0.0005665277303428922,0.016586506370019856,0.5119570522205954,0.8607476635514019,0.131551901336074
unit2ts,5,82932,-0.4010840738308119,0.0006311842673270334,0.017555249046329487,0.5146627565982405,0.8575445173383318,0.1411042944785276
unit2ts,5,83604,-0.4776093698736905,0.0003532163361708177,0.013999592151204556,0.5002433090024331,0.8526829268292683,0.15024390243902438
unit2ts,5,83989,-0.41403858488682643,0.0015712076421288848,0.02828978335737285,0.49254449254449256,0.8291203235591507,0.1887141535615171
unit2ts,5,84176,-0.49741320080887164,0.002245158837764262,0.03148367761393083,0.507639231148349,0.8249754178957719,0.1900497512437811
unit2ts,5,85177,-0.47465505042542855,0.0022691228152084976,0.03214160413739449,0.4757094757094757,0.8318670576735093,0.1313035204567079
unit2ts,5,85442,-0.4627470511681313,0.0006271579862829358,0.018614889709660735,0.5060240963855421,0.8703703703703703,0.11066398390342053
unit2ts,5,86047,-0.4115922649234096,0.0014848895454898526,0.027143011421413114,0.49855351976856316,0.8451369216241738,0.1378968253968254
unit2ts,5,86051,-0.5374727024149129,0.0031505547844501154,0.038076268309653535,0.47053140096618357,0.8289473684210527,0.14485981308411214
unit2ts,5,86144,-0.4330731161909742,0.000247915808195623,0.010738423086228794,0.5163974547234459,0.8762886597938144,0.12358393408856849
unit2ts,5,86745,-0.4581270383404268,0.0021131222025420645,0.030252584637119554,0.48614487117160915,0.8222453222453222,0.19280442804428044
unit2ts,5,86776,-0.42074274107973486,0.0004461405487676532,0.015166605923154405,0.5163334958556801,0.871177015755329,0.12331606217616581
unit2ts,5,86869,-0.43878521107004853,0.0003228314266271754,0.013230327800162768,0.5145914396887159,0.8564500484966052,0.1736111111111111
unit2ts,5,86916,-0.6218312809828139,0.021403371854622568,0.05934230054171866,0.44816053511705684,0.837160751565762,0.12088888888888889
unit2ts,5,86929,-0.4292786060037903,0.001134783255795084,0.02371263334391714,0.4863680623174294,0.8429423459244533,0.1446360153256705
unit2ts,5,86996,-0.4649043226650662,0.0004487151136791999,0.015328723937197506,0.5233186057928326,0.8679593721144968,0.1322140608604407
unit2ts,5,87075,-0.4093698403754982,0.0006208864205929262,0.017702565923669304,0.5321951219512195,0.8678373382624769,0.15718717683557393
unit2ts,5,87179,-0.44571075859077647,0.0006753837824879488,0.01813439009833836,0.491517207949588,0.8325266214908035,0.14995131450827653
unit2ts,5,87344,-0.5978310104054056,0.004649467416390596,0.03911684748556543,0.4577161968466316,0.8186528497409327,0.15162454873646208
unit2ts,21,11174,-0.2728428512280907,0.0013675586708927854,0.025539985550524356,0.5070766227428014,0.991321118611379,0.010869565217391304
unit2ts,21,20512,-0.2862757710873649,0.00039087481939473895,0.014067179591110559,0.5242766061794998,0.9888059701492538,0.009307135470527405
unit2ts,21,29647,-0.2321901847863579,0.00017149932390910405,0.008685997980151882,0.5228501228501229,0.9859154929577465,0.014507772020725389
unit2ts,21,39731,-0.28718056712903484,0.002357061882485711,0.0344414463724357,0.4828087167070218,0.98989898989899,0.016052880075542966
unit2ts,21,40125,-0.26673721068603684,0.0014174149289588984,0.023291890553843224,0.517359413202934,0.9904942965779467,0.016145307769929364
unit2ts,21,44644,-0.2502317121508839,0.0002982380783585146,0.011874637718786956,0.5393258426966292,0.9972826086956522,0.0031914893617021275
unit2ts,21,44943,-0.3034256303710261,0.0008470107362377135,0.021930742072156558,0.5186802523047065,0.9851439182915506,0.008146639511201629
unit2ts,21,45911,-0.2672714494885662,0.0007482760932022112,0.020066376091592293,0.5243664717348928,0.9860982391102873,0.012332990750256937
unit2ts,21,47466,-0.28007061823719237,0.00048408113462468957,0.01587405221445186,0.5155793573515093,0.987758945386064,0.010101010101010102
unit2ts,21,47941,-0.3217893714253053,0.0006509836384345826,0.017778508894859085,0.4983017952450267,0.9845261121856866,0.008884501480750246
unit2ts,21,50286,-0.35016823179557277,0.0024166881525960254,0.03375434301234731,0.43096034400382227,0.976,0.03966942148760331
unit2ts,21,55993,-0.2838207041501857,0.0012692592721025714,0.02429899029744587,0.5060591371788657,0.9857142857142858,0.00893743793445879
unit2ts,21,61241,-0.30808246120388016,0.0018341854927522122,0.03170577772401284,0.5074340527577937,0.9887323943661972,0.004911591355599214
unit2ts,21,63773,-0.3303867828641043,0.0015338352653363493,0.022572216840922078,0.5177270519669742,0.9793233082706767,0.02416918429003021
unit2ts,21,66093,-0.2885467932806538,0.0002846553905887975,0.011796518335062461,0.5094614264919942,0.9885823025689819,0.010967098703888335
unit2ts,21,75104,-0.27774665384856134,0.0011306272068677115,0.0223196010754314,0.5027000490918017,0.9766763848396501,0.01890547263681592
unit2ts,21,75320,-0.358121534944811,0.001535389908909089,0.02225968779049652,0.5106692531522793,0.9829383886255925,0.015920398009950248
unit2ts,21,76226,-0.25784326212175857,0.0011841650297172517,0.022725578083238274,0.5129331381161543,0.9770334928229665,0.03
unit2ts,21,78405,-0.28023468954765773,0.00025951847542260377,0.011043097681717464,0.505099562894609,0.9753086419753086,0.01296111665004985
unit2ts,21,78840,-0.27303200609088796,0.000787978712912851,0.020300225165587524,0.519730510105871,0.9878957169459963,0.01898101898101898
unit2ts,21,78971,-0.3086272028950954,0.001009486348236532,0.022014761428957464,0.48626506024096383,0.9860418743768694,0.01892147587511826
unit2ts,21,79033,-0.32712774184317595,0.0008363198865212317,0.019784753939278806,0.4756335282651072,0.9744376278118609,0.02153558052434457
unit2ts,21,79879,-0.2838788819044058,0.0005972802529622288,0.017646895169495233,0.4949103247697528,0.9833984375,0.013618677042801557
unit2ts,21,80089,-0.2957337374333111,0.0010679790289714844,0.023489497436021113,0.47723935389133626,0.9646936656282451,0.04287045666356011
unit2ts,21,80924,-0.3190786084623001,0.0007294569227243719,0.017179851392587462,0.49853658536585366,0.9810568295114656,0.03714565004887586
unit2ts,21,81043,-0.27133715843185535,0.0005286358819431889,0.01649745708909231,0.5007285089849441,0.9757751937984496,0.023506366307541625
unit2ts,21,81132,-0.2662619196739562,0.0009028120333471463,0.02230956038987633,0.5338859093125304,0.993601462522852,0.008376963350785341
unit2ts,21,81133,-0.2890598530359698,0.00113798148411996,0.025056360503408735,0.4928956393924547,0.9890438247011952,0.012720156555772993
unit2ts,21,81740,-0.3015734046976968,0.0014339691712278839,0.026707399428894062,0.49229287090558765,0.9726295210166178,0.025665399239543727
unit2ts,21,82281,-0.29674086925839394,0.004189143084346241,0.0420533073200635,0.4515033947623666,0.9806451612903225,0.017040358744394617
