Model,Rolling Window,PERMNO,R2,MSE,MAE,Directional Accuracy,Directional Up,Directional Down
unit2ts,5,11174,-0.471341546630621,0.0015861039355055562,0.027264192643743034,0.4966828836797877,0.8533333333333334,0.14348591549295775
unit2ts,5,20512,-0.45117748713319394,0.0004333310825995995,0.014569189632184553,0.5190097259062776,0.8752079866888519,0.11509433962264151
unit2ts,5,29647,-0.3832707381909797,0.00019007858570543578,0.009084622817369343,0.5161432994250331,0.8637901861252115,0.13594040968342644
unit2ts,5,39731,-0.5325576602470696,0.0027223411789559972,0.03659348943380734,0.46970367094206106,0.8556891766882516,0.11769759450171821
unit2ts,5,40125,-0.45862545398521193,0.0014835155072402254,0.023615006681121826,0.49977885891198587,0.8458904109589042,0.1301558203483043
unit2ts,5,44644,-0.4341549616894689,0.00033029481203832966,0.012509135845663178,0.5228178998670802,0.8883415435139573,0.0945945945945946
unit2ts,5,44943,-0.4632109336279715,0.0009373006761898571,0.02317642121456276,0.502874834144184,0.8486394557823129,0.1283471837488458
unit2ts,5,45911,-0.42955113184047833,0.0008207441995879457,0.020927962097759233,0.5095090667846086,0.855072463768116,0.13694852941176472
unit2ts,5,47466,-0.45963010442836416,0.0005489321057546482,0.016794515053527543,0.5004424778761062,0.8467532467532467,0.1387126019945603
unit2ts,5,47941,-0.45813638104697874,0.0006985770380856878,0.018388585522930264,0.49425795053003535,0.8432769367764915,0.1526175687666371
unit2ts,5,50286,-0.667751966349142,0.0025234614134909796,0.034094322356981364,0.4435590969455511,0.8029350104821803,0.18195836545875096
unit2ts,5,55993,-0.43998934949359536,0.0013814065862163786,0.025075055586333467,0.4984520123839009,0.8645558487247141,0.12880143112701253
unit2ts,5,61241,-0.5329980937370364,0.0021005152024942096,0.033025066363021834,0.49270234409553293,0.8500435919790759,0.125
unit2ts,5,63773,-0.5397930660832913,0.0017327901721560532,0.023224183461308275,0.5017683465959328,0.8545454545454545,0.1339366515837104
unit2ts,5,66093,-0.4787706858952041,0.00031830493556088874,0.01227629996856152,0.5123674911660777,0.8693424423569599,0.13075506445672191
unit2ts,5,75104,-0.5060943368566904,0.0012197657527379714,0.02353089889056952,0.4940291906236179,0.8214920071047958,0.1696113074204947
unit2ts,5,75320,-0.6041776096299243,0.0017375019978047384,0.02234794338249403,0.4991158267020336,0.8444252376836646,0.13780598368087035
unit2ts,5,76226,-0.49171598427144403,0.0013233641383115797,0.023980536809373523,0.5083996463306808,0.8226086956521739,0.18411552346570398
unit2ts,5,78405,-0.44796417500852526,0.0002885848159963733,0.0115570048952093,0.518141592920354,0.8562822719449226,0.16073059360730593
unit2ts,5,78840,-0.4621274187510114,0.0008973482820333619,0.021650233176151234,0.504424778761062,0.8525862068965517,0.13764813126709208
unit2ts,5,78971,-0.4335943937091722,0.0010637664916771723,0.022587769738620294,0.4688466637207247,0.7998146431881371,0.16937553464499572
unit2ts,5,79033,-0.5692527130050165,0.0009415819132145742,0.020473632199411795,0.4796819787985866,0.8470046082949308,0.1423699914748508
unit2ts,5,79879,-0.45937999209058544,0.0006707140645194959,0.018649381774469707,0.4876325088339223,0.8504923903312444,0.13556338028169015
unit2ts,5,80089,-0.4459084161745037,0.0011369243880450669,0.02421276047879132,0.49270879363676534,0.8093422306959008,0.2203811101905551
unit2ts,5,80924,-0.5573420685797312,0.0008407078881271891,0.01782662655856626,0.4876325088339223,0.8381294964028777,0.1524822695035461
unit2ts,5,81043,-0.43292406842890974,0.0005782434529455196,0.017235400968346803,0.4960247349823322,0.8368983957219251,0.1619718309859155
unit2ts,5,81132,-0.4319225161199802,0.0009907815966530246,0.023562888090307946,0.5181576616474757,0.8635214827295703,0.13564078578110383
unit2ts,5,81133,-0.4868723571450235,0.001263505493486286,0.026305403535358523,0.4807607253427687,0.8194317140238313,0.1670995670995671
unit2ts,5,81740,-0.5489482868507329,0.0016119891931976758,0.027799923191220842,0.5013262599469496,0.8132366273798731,0.20466321243523317
unit2ts,5,82281,-0.6472362778957708,0.00493597063399929,0.04414254841417691,0.4489795918367347,0.8060301507537688,0.16908212560386474
unit2ts,5,82646,-0.42694494080216816,0.00042021617314024834,0.014893790165845062,0.49270879363676534,0.8437225636523266,0.13762287756925826
unit2ts,5,82924,-0.4268158348836111,0.0005567905763113136,0.016580615903272665,0.5050952591936199,0.8561643835616438,0.12927054478301014
unit2ts,5,82932,-0.44401935660309655,0.0006079554874531523,0.01730665079243054,0.5139318885448917,0.8598130841121495,0.13850415512465375
unit2ts,5,83604,-0.4871904583295814,0.00034496437784919384,0.013806609497393882,0.49779151943462896,0.852212389380531,0.14526129317980513
unit2ts,5,83989,-0.4362002416575932,0.0015913736215358678,0.028505624558942608,0.4876325088339223,0.8258426966292135,0.18702611625947768
unit2ts,5,84176,-0.5018480816293505,0.002305605712316492,0.03180048457763768,0.5026501766784452,0.8272484416740873,0.18430335097001763
unit2ts,5,85177,-0.4980680802124815,0.002223594595741807,0.031860943059277495,0.4776844896155546,0.8366425992779783,0.13391304347826086
unit2ts,5,85442,-0.5003990540322318,0.000625564076401744,0.01857753188507511,0.5055236411842686,0.8676844783715013,0.11172668513388735
unit2ts,5,86047,-0.4271318205354553,0.0014575280488857566,0.027022717439838723,0.49779151943462896,0.8475609756097561,0.1388638412984671
unit2ts,5,86051,-0.6207571745820595,0.002871484698026679,0.03769344351153061,0.4683768244139761,0.8288119738072965,0.14661016949152542
unit2ts,5,86144,-0.45209573043404916,0.0002464803435395034,0.01076744330262345,0.5145888594164456,0.8728813559322034,0.1244196843082637
unit2ts,5,86745,-0.4792477372978845,0.002058124716423936,0.03015703629036328,0.482545293857711,0.8134469696969697,0.1948160535117057
unit2ts,5,86776,-0.43856670502033945,0.0004373335535040466,0.015094587628488131,0.5101590106007067,0.8693424423569599,0.1261510128913444
unit2ts,5,86869,-0.4350754394438394,0.0003127525003090785,0.013109676799400933,0.5161290322580645,0.8587719298245614,0.17088607594936708
unit2ts,5,86916,-0.6367816979733725,0.019849895089055276,0.05770333310183601,0.4448871181938911,0.8383937316356513,0.12133550488599348
unit2ts,5,86929,-0.4787950921404571,0.0011189021475127255,0.023714700595408516,0.483429076447194,0.8460837887067395,0.1421188630490956
unit2ts,5,86996,-0.4682763675180155,0.00045071410623469943,0.015411424097806997,0.5212389380530974,0.8683989941324393,0.13320825515947468
unit2ts,5,87075,-0.4395236691466142,0.0005989440627142983,0.017654508066067505,0.5205661211853162,0.8622754491017964,0.15490375802016498
unit2ts,5,87179,-0.4435079487476219,0.0006861311194900742,0.018316914667675724,0.4900574458683164,0.8285968028419183,0.15520282186948853
unit2ts,5,87344,-0.6801181462396213,0.004684031265949136,0.03907464179259998,0.4508849557522124,0.8170254403131115,0.1510673234811166
unit2ts,21,11174,-0.30770250674746347,0.0014097013009470513,0.026111075144989847,0.4940291906236179,0.9857777777777778,0.007042253521126761
unit2ts,21,20512,-0.28601166950333123,0.0003840114899263517,0.013944376823340779,0.5305039787798409,0.9866888519134775,0.013207547169811321
unit2ts,21,29647,-0.2625427413387722,0.00017348905896772085,0.008747154176548326,0.5258735072976559,0.9915397631133672,0.015828677839851025
unit2ts,21,39731,-0.3128410943294022,0.0023320501833140866,0.03433025658946622,0.47722246793454226,0.9842738205365402,0.01288659793814433
unit2ts,21,40125,-0.2909128587410903,0.0013129410563937915,0.022736823501950228,0.5165855816010615,0.985445205479452,0.015582034830430797
unit2ts,21,44644,-0.29540942461246855,0.00029834085147327353,0.011814213079007426,0.5369960124058485,0.9917898193760263,0.003861003861003861
unit2ts,21,44943,-0.3050834499270234,0.000836007695122793,0.021856815025182056,0.5174701459531181,0.9821428571428571,0.013850415512465374
unit2ts,21,45911,-0.29004909531736667,0.0007406522848904684,0.020141772463998578,0.5134896063688633,0.9829497016197783,0.007352941176470588
unit2ts,21,47466,-0.29981694511140855,0.0004888301841753342,0.01608119108531556,0.5088495575221239,0.9887445887445887,0.007252946509519492
unit2ts,21,47941,-0.3135463994092731,0.0006293055745777225,0.017617749725295298,0.49381625441696114,0.9839715048975958,0.011535048802129548
unit2ts,21,50286,-0.41578822451922504,0.002142217203958751,0.033208018142366375,0.4298362107127047,0.9696016771488469,0.03546646106399383
unit2ts,21,55993,-0.29408311232962325,0.0012414362197277363,0.024209225489980696,0.5019902697921274,0.9885664028144239,0.009838998211091235
unit2ts,21,61241,-0.31285217257413245,0.0017988710869150987,0.03140047625655836,0.5059708093763822,0.987794245858762,0.009892086330935251
unit2ts,21,63773,-0.3505122264169285,0.0015197849404948933,0.022709013941093106,0.51105216622458,0.9878787878787879,0.013574660633484163
unit2ts,21,66093,-0.2994266187949315,0.00027970118024839974,0.01172077517558049,0.5159010600706714,0.986336464560205,0.011970534069981584
unit2ts,21,75104,-0.29702276013766227,0.001050441466129844,0.022128186626208364,0.4940291906236179,0.9724689165186501,0.019434628975265017
unit2ts,21,75320,-0.34781796374660345,0.0014598361120543803,0.02211909529660437,0.5092838196286472,0.9818496110630942,0.014505893019038985
unit2ts,21,76226,-0.30629682078873866,0.0011588709813728701,0.022636344206299366,0.5123784261715296,0.9730434782608696,0.036101083032490974
unit2ts,21,78405,-0.2721136069578449,0.0002535371230356932,0.011063484624414546,0.5168141592920354,0.9853700516351118,0.021004566210045664
unit2ts,21,78840,-0.28950175881121565,0.0007914031110480758,0.02039247988626054,0.5119469026548673,0.9844827586206897,0.013673655423883319
unit2ts,21,78971,-0.30432483917572584,0.0009678449248029287,0.02190597230063755,0.47901016349977904,0.9851714550509731,0.017964071856287425
unit2ts,21,79033,-0.33295163707392716,0.0007997967072207031,0.019439177508164155,0.4836572438162544,0.9852534562211982,0.02216538789428815
unit2ts,21,79879,-0.2911378799953903,0.0005933919472928067,0.017738908608514046,0.49337455830388693,0.9803043867502238,0.01936619718309859
unit2ts,21,80089,-0.326873795603577,0.001043326922510677,0.023406116248541185,0.4750331418471056,0.9714013346043852,0.0463960231980116
unit2ts,21,80924,-0.3345121718050479,0.0007204164918381967,0.01717197243337325,0.5017667844522968,0.9829136690647482,0.038120567375886524
unit2ts,21,81043,-0.2719885458381388,0.0005132993890311546,0.01641064383028002,0.49690812720848054,0.9741532976827094,0.028169014084507043
unit2ts,21,81132,-0.28537233160640074,0.0008893800025251523,0.02241227763775114,0.5230292294065545,0.991575400168492,0.0037418147801683817
unit2ts,21,81133,-0.3316535943679868,0.001131604622158296,0.025161436010726408,0.4816452896948253,0.9798350137488543,0.017316017316017316
unit2ts,21,81740,-0.3182214560993999,0.001371871972429711,0.026498255402228426,0.48717948717948717,0.9737080689029919,0.024179620034542316
unit2ts,21,82281,-0.36290147277519247,0.004083956707926755,0.0419095022558743,0.44631765749778174,0.9839195979899498,0.021739130434782608
unit2ts,21,82646,-0.29951125122583866,0.00038268865835554744,0.01429780957126855,0.5041979673000442,0.9736611062335382,0.028596961572832886
unit2ts,21,82924,-0.27905877544981417,0.0004991309006441174,0.01577673902331259,0.5183872396987151,0.9914383561643836,0.0110803324099723
unit2ts,21,82932,-0.2928661728337576,0.0005443175541398784,0.016515121753701456,0.5196815568332597,0.9957519116397621,0.002770083102493075
unit2ts,21,83604,-0.307053097688349,0.00030318023904373403,0.013086666761295409,0.4991166077738516,0.9858407079646018,0.0141718334809566
unit2ts,21,83989,-0.2787112563350347,0.0014168688347691487,0.02712678855275457,0.47614840989399293,0.9709737827715356,0.03454085930918281
unit2ts,21,84176,-0.28563317892771667,0.0019736771232304285,0.03008221438128339,0.49690812720848054,0.9723953695458593,0.0291005291005291
unit2ts,21,85177,-0.30715747886470623,0.0019402244425198514,0.030191403730105457,0.4913831197525409,0.9810469314079422,0.021739130434782608
unit2ts,21,85442,-0.30262214355421047,0.0005431045933700279,0.017475581981056025,0.5209898365002209,0.993214588634436,0.007386888273314866
unit2ts,21,86047,-0.32139948834328025,0.0013495437424420947,0.026086689389706617,0.5026501766784452,0.9799651567944251,0.011722272317403066
unit2ts,21,86051,-0.36752184080293326,0.0024228293427702996,0.036009985783418616,0.4714727996461743,0.9775491113189897,0.017796610169491526
unit2ts,21,86144,-0.294477066964705,0.00021972597638180322,0.010327812220526762,0.5216622458001768,0.9906779661016949,0.01021355617455896
unit2ts,21,86745,-0.37516478749511184,0.0019133107774560775,0.029390671119797814,0.4639858594785683,0.9696969696969697,0.021739130434782608
unit2ts,21,86776,-0.3022994967138086,0.00039590744359423283,0.01436047840335924,0.5163427561837456,0.986336464560205,0.01289134438305709
unit2ts,21,86869,-0.291790171249414,0.00028152569184064665,0.012460511721854644,0.5033141847105612,0.9771929824561404,0.022603978300180832
unit2ts,21,86916,-0.42408688750353774,0.017270461509708523,0.05773795926593005,0.4532979194333776,0.9843290891283056,0.015472312703583062
unit2ts,21,86929,-0.32799254569418257,0.0010048002722996465,0.02260424712106105,0.48475475033141846,0.9845173041894353,0.013781223083548665
unit2ts,21,86996,-0.3042416967536625,0.000400360683908605,0.014516348334278015,0.5327433628318584,0.9932942162615256,0.017823639774859287
unit2ts,21,87075,-0.30436368966254435,0.0005427079139356115,0.01683360555697446,0.5170278637770898,0.9786142001710864,0.022914757103574702
unit2ts,21,87179,-0.30734247108744595,0.0006214086690844951,0.017682892402724505,0.49359257622624836,0.9840142095914742,0.007936507936507936
unit2ts,21,87344,-0.3938543109022201,0.003885951227332813,0.03800948138714508,0.4561946902654867,0.9706457925636007,0.03201970443349754
unit2ts,252,11174,-0.23494284924073527,0.001331266501507224,0.025751486209383993,0.49756744803184433,0.9991111111111111,0.0008802816901408451
unit2ts,252,20512,-0.26123005977935865,0.00037661153928939407,0.01396244055894268,0.5318302387267905,1.0,0.0009433962264150943
unit2ts,252,29647,-0.26170718139102145,0.00017337424264958758,0.008961218719346409,0.5227775320654577,1.0,0.0
unit2ts,252,39731,-0.23275957462730212,0.002189798296541189,0.03365441720318732,0.47854931446262716,1.0,0.000859106529209622
unit2ts,252,40125,-0.24830555914881614,0.00126960670384011,0.023028103016228117,0.5165855816010615,1.0,0.0
unit2ts,252,44644,-0.27138204691589873,0.0002928071968738336,0.011976203465758168,0.5396544085068675,1.0,0.0
unit2ts,252,44943,-0.24741959635694077,0.000799069501386815,0.021504139067516206,0.5201238390092879,1.0,0.0
unit2ts,252,45911,-0.25942149955630533,0.000723068148857606,0.020003132702725874,0.518796992481203,0.9991474850809889,0.0009191176470588235
unit2ts,252,47466,-0.2670111984998862,0.0004764927244903896,0.015959652316209844,0.5101769911504425,0.9982683982683983,0.0
unit2ts,252,47941,-0.24593627926049266,0.0005969143126271499,0.01752295164700644,0.4960247349823322,1.0,0.0
unit2ts,252,50286,-0.2983757307092967,0.0019645613513083722,0.03313758809657276,0.42231075697211157,1.0,0.0
unit2ts,252,55993,-0.26520461590307187,0.001213732580685063,0.024285460537442165,0.502874834144184,1.0,0.0
unit2ts,252,61241,-0.2801003078353099,0.0017539944559036241,0.031435156117244255,0.5068553737284387,0.999128160418483,0.0
unit2ts,252,63773,-0.2408596245164476,0.001396388521125503,0.022636611365969995,0.51105216622458,1.0,0.0009049773755656109
unit2ts,252,66093,-0.2596149060914492,0.0002711317213272019,0.01165561777801242,0.5176678445229682,1.0,0.0009208103130755065
unit2ts,252,75104,-0.2785740926252853,0.0010355001359192728,0.022434197326635697,0.4984520123839009,1.0,0.0008833922261484099
unit2ts,252,75320,-0.25176451079587325,0.001355799585552531,0.022030829377528312,0.5114942528735632,1.0,0.0
unit2ts,252,76226,-0.25706282305816797,0.0011151934263494369,0.022748521265786102,0.5079575596816976,0.9991304347826087,0.0
unit2ts,252,78405,-0.27053400657984694,0.00025322230261934576,0.011241116956002214,0.5132743362831859,0.9982788296041308,0.0
unit2ts,252,78840,-0.25028657793727915,0.0007673356633444314,0.020176982215608166,0.513716814159292,1.0,0.0009115770282588879
unit2ts,252,78971,-0.28080906619471246,0.0009503955741129007,0.02191325467449273,0.4768007070260716,1.0,0.0
unit2ts,252,79033,-0.2734185096523727,0.0007640756818226383,0.01977948720562798,0.4792402826855124,1.0,0.0
unit2ts,252,79879,-0.2521244931023465,0.0005754618485964276,0.017550564127012194,0.49337455830388693,1.0,0.0
unit2ts,252,80089,-0.25183586843616124,0.0009843242578393564,0.022995087448567375,0.46354396818382676,1.0,0.0
unit2ts,252,80924,-0.24597663624457788,0.0006726219034642156,0.017139463468647018,0.4911660777385159,1.0,0.0
unit2ts,252,81043,-0.25371349099467766,0.0005059246571466954,0.016472335456623348,0.495583038869258,1.0,0.0
unit2ts,252,81132,-0.25863648620224433,0.0008708808286528287,0.02203316772028977,0.525243578387954,0.9991575400168492,0.0
unit2ts,252,81133,-0.25898415438107025,0.001069852020335539,0.02477872611469811,0.4816452896948253,0.998166819431714,0.0
unit2ts,252,81740,-0.24039114503217474,0.0012908740324670644,0.026042258833337793,0.4876215738284704,1.0,0.0
unit2ts,252,82281,-0.22375817016456567,0.0036670115101916255,0.04101778656323947,0.4409937888198758,0.9989949748743718,0.0
unit2ts,252,82646,-0.2554804662017933,0.00036972218189657203,0.014250744924982054,0.5028722934158197,0.9982440737489026,0.0008936550491510277
unit2ts,252,82924,-0.24394953089130733,0.00048543011597825306,0.015624158898635998,0.516614975631369,0.9982876712328768,0.0
unit2ts,252,82932,-0.25700745769521705,0.0005292204555159524,0.016486763488462047,0.5201238390092879,0.9991503823279524,0.0
unit2ts,252,83604,-0.26691164476910645,0.000293869144251072,0.012903630885654724,0.4986749116607774,0.9991150442477876,0.0
unit2ts,252,83989,-0.24738575398536544,0.0013821587876081147,0.027091813488415543,0.4717314487632509,1.0,0.0
unit2ts,252,84176,-0.210081417600821,0.001857691641994615,0.029684737526615223,0.495583038869258,0.9991095280498664,0.0
unit2ts,252,85177,-0.23237521199972555,0.0018292245175800536,0.029971898389689795,0.4896155545735749,1.0,0.0
unit2ts,252,85442,-0.2546716123563524,0.000523112492147924,0.01720164227818067,0.5209898365002209,1.0,0.0
unit2ts,252,86047,-0.2627664655833113,0.0012896619052957913,0.025944246012026426,0.5070671378091873,1.0,0.0
unit2ts,252,86051,-0.2830477782398615,0.0022731672084085877,0.03521319121914603,0.4732419283502875,0.9990645463049579,0.001694915254237288
